trial_id,seed,scenario,warm_start_scale,shrunk_size,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,ci_width,relative_error
317,2510323,subset,0,25,25,25,19,25,true,6,0.0000
318,2518242,subset,0,25,25,25,19,25,true,6,0.0000
319,2526161,subset,0,25,25,25,19,25,true,6,0.0000
320,2534080,subset,0,25,25,25,19,25,true,6,0.0000
321,2541999,subset,0,25,25,25,19,25,true,6,0.0000
322,2549918,subset,0,25,25,25,19,25,true,6,0.0000
323,2557837,subset,0,25,25,25,19,25,true,6,0.0000
324,2565756,subset,0,25,25,25,19,25,true,6,0.0000
325,2573675,subset,0,25,25,25,19,25,true,6,0.0000
326,2581594,subset,0,25,25,25,19,25,true,6,0.0000
327,2589513,subset,0,25,25,25,19,25,true,6,0.0000
328,2597432,subset,0,25,25,25,19,25,true,6,0.0000
329,2605351,subset,0,25,25,25,19,25,true,6,0.0000
330,2613270,subset,0,25,25,25,19,25,true,6,0.0000
331,2621189,subset,0,25,25,25,19,25,true,6,0.0000
332,2629108,subset,0,25,25,25,19,25,true,6,0.0000
333,2637027,subset,0,25,25,25,19,25,true,6,0.0000
334,2644946,subset,0,25,25,25,19,25,true,6,0.0000
335,2652865,subset,0,25,25,25,19,25,true,6,0.0000
336,2660784,subset,0,25,25,25,19,25,true,6,0.0000
337,2668703,subset,0,25,25,25,19,25,true,6,0.0000
338,2676622,subset,0,25,25,25,19,25,true,6,0.0000
339,2684541,subset,0,25,25,25,19,25,true,6,0.0000
340,2692460,subset,0,25,25,25,19,25,true,6,0.0000
341,2700379,subset,0,25,25,25,19,25,true,6,0.0000
342,2708298,subset,0,25,25,25,19,25,true,6,0.0000
343,2716217,subset,0,25,25,25,19,25,true,6,0.0000
344,2724136,subset,0,25,25,25,19,25,true,6,0.0000
345,2732055,subset,0,25,25,25,19,25,true,6,0.0000
346,2739974,subset,0,25,25,25,19,25,true,6,0.0000
347,2747893,subset,0,25,25,25,19,25,true,6,0.0000
348,2755812,subset,0,25,25,25,19,25,true,6,0.0000
349,2763731,subset,0,25,25,25,19,25,true,6,0.0000
350,2771650,subset,0,25,25,25,19,25,true,6,0.0000
351,2779569,subset,0,25,25,25,19,25,true,6,0.0000
352,2787488,subset,0,25,25,25,19,25,true,6,0.0000
353,2795407,subset,0,25,25,25,19,25,true,6,0.0000
354,2803326,subset,0,25,25,25,19,25,true,6,0.0000
355,2811245,subset,0,25,25,25,19,25,true,6,0.0000
356,2819164,subset,0,25,25,25,19,25,true,6,0.0000
357,2827083,subset,0,25,25,25,19,25,true,6,0.0000
358,2835002,subset,0,25,25,25,19,25,true,6,0.0000
359,2842921,subset,0,25,25,25,19,25,true,6,0.0000
360,2850840,subset,0,25,25,25,19,25,true,6,0.0000
361,2858759,subset,0,25,25,25,19,25,true,6,0.0000
362,2866678,subset,0,25,25,25,19,25,true,6,0.0000
363,2874597,subset,0,25,25,25,19,25,true,6,0.0000
364,2882516,subset,0,25,25,25,19,25,true,6,0.0000
365,2890435,subset,0,25,25,25,19,25,true,6,0.0000
366,2898354,subset,0,25,25,25,19,25,true,6,0.0000
367,2906273,subset,0,25,25,25,19,25,true,6,0.0000
368,2914192,subset,0,25,25,25,19,25,true,6,0.0000
369,2922111,subset,0,25,25,25,19,25,true,6,0.0000
370,2930030,subset,0,25,25,25,19,25,true,6,0.0000
371,2937949,subset,0,25,25,25,19,25,true,6,0.0000
372,2945868,subset,0,25,25,25,19,25,true,6,0.0000
373,2953787,subset,0,25,25,25,19,25,true,6,0.0000
374,2961706,subset,0,25,25,25,19,25,true,6,0.0000
375,2969625,subset,0,25,25,25,19,25,true,6,0.0000
376,2977544,subset,0,25,25,25,19,25,true,6,0.0000
377,2985463,subset,0,25,25,25,19,25,true,6,0.0000
378,2993382,subset,0,25,25,25,19,25,true,6,0.0000
379,3001301,subset,0,25,25,25,19,25,true,6,0.0000
380,3009220,subset,0,25,25,25,19,25,true,6,0.0000
381,3017139,subset,0,25,25,25,19,25,true,6,0.0000
382,3025058,subset,0,25,25,25,19,25,true,6,0.0000
383,3032977,subset,0,25,25,25,19,25,true,6,0.0000
384,3040896,subset,0,25,25,25,19,25,true,6,0.0000
385,3048815,subset,0,25,25,25,19,25,true,6,0.0000
386,3056734,subset,0,25,25,25,19,25,true,6,0.0000
387,3064653,subset,0,25,25,25,19,25,true,6,0.0000
388,3072572,subset,0,25,25,25,19,25,true,6,0.0000
389,3080491,subset,0,25,25,25,19,25,true,6,0.0000
390,3088410,subset,0,25,25,25,19,25,true,6,0.0000
391,3096329,subset,0,25,25,25,19,25,true,6,0.0000
392,3104248,subset,0,25,25,25,19,25,true,6,0.0000
393,3112167,subset,0,25,25,25,19,25,true,6,0.0000
394,3120086,subset,0,25,25,25,19,25,true,6,0.0000
395,3128005,subset,0,25,25,25,19,25,true,6,0.0000
396,3135924,subset,0,25,25,25,19,25,true,6,0.0000
397,3143843,subset,0,25,25,25,19,25,true,6,0.0000
398,3151762,subset,0,25,25,25,19,25,true,6,0.0000
399,3159681,subset,0,25,25,25,19,25,true,6,0.0000
400,3167600,subset,0,25,25,25,19,25,true,6,0.0000
401,3175519,subset,0,25,25,25,19,25,true,6,0.0000
402,3183438,subset,0,25,25,25,19,25,true,6,0.0000
403,3191357,subset,0,25,25,25,19,25,true,6,0.0000
