trial_id,seed,map_type,base_size,reported_size,actual_distinct_values,size_ratio,elapsed_micros
129,1021551,bijective,100,100,100,1.000000,800
130,1029470,bijective,100,100,100,1.000000,803
131,1037389,bijective,100,100,100,1.000000,811
132,1045308,bijective,100,100,100,1.000000,851
133,1053227,bijective,100,100,100,1.000000,805
134,1061146,bijective,100,100,100,1.000000,804
135,1069065,bijective,100,100,100,1.000000,803
136,1076984,bijective,100,100,100,1.000000,848
137,1084903,bijective,100,100,100,1.000000,801
138,1092822,bijective,100,100,100,1.000000,801
139,1100741,bijective,100,100,100,1.000000,917
140,1108660,bijective,100,100,100,1.000000,896
141,1116579,bijective,100,100,100,1.000000,800
142,1124498,bijective,100,100,100,1.000000,803
143,1132417,bijective,100,100,100,1.000000,808
144,1140336,bijective,100,100,100,1.000000,878
145,1148255,bijective,100,100,100,1.000000,812
146,1156174,bijective,100,100,100,1.000000,814
147,1164093,bijective,100,100,100,1.000000,804
148,1172012,bijective,100,100,100,1.000000,872
149,1179931,bijective,100,100,100,1.000000,874
150,1187850,bijective,100,100,100,1.000000,800
151,1195769,bijective,100,100,100,1.000000,834
152,1203688,bijective,100,100,100,1.000000,897
153,1211607,bijective,100,100,100,1.000000,801
154,1219526,bijective,100,100,100,1.000000,802
155,1227445,bijective,100,100,100,1.000000,807
156,1235364,bijective,100,100,100,1.000000,925
157,1243283,bijective,100,100,100,1.000000,803
158,1251202,bijective,100,100,100,1.000000,826
159,1259121,bijective,100,100,100,1.000000,811
160,1267040,bijective,100,100,100,1.000000,860
161,1274959,bijective,100,100,100,1.000000,797
162,1282878,bijective,100,100,100,1.000000,795
163,1290797,bijective,100,100,100,1.000000,913
164,1298716,bijective,100,100,100,1.000000,853
165,1306635,bijective,100,100,100,1.000000,812
166,1314554,bijective,100,100,100,1.000000,800
167,1322473,bijective,100,100,100,1.000000,811
168,1330392,bijective,100,100,100,1.000000,859
169,1338311,bijective,100,100,100,1.000000,819
170,1346230,bijective,100,100,100,1.000000,801
171,1354149,bijective,100,100,100,1.000000,807
172,1362068,bijective,100,100,100,1.000000,852
173,1369987,bijective,100,100,100,1.000000,824
174,1377906,bijective,100,100,100,1.000000,823
175,1385825,bijective,100,100,100,1.000000,858
176,1393744,bijective,100,100,100,1.000000,929
177,1401663,bijective,100,100,100,1.000000,812
178,1409582,bijective,100,100,100,1.000000,813
179,1417501,bijective,100,100,100,1.000000,865
180,1425420,bijective,100,100,100,1.000000,895
181,1433339,bijective,100,100,100,1.000000,807
182,1441258,bijective,100,100,100,1.000000,802
183,1449177,bijective,100,100,100,1.000000,817
184,1457096,bijective,100,100,100,1.000000,842
185,1465015,bijective,100,100,100,1.000000,797
186,1472934,bijective,100,100,100,1.000000,794
187,1480853,bijective,100,100,100,1.000000,846
188,1488772,bijective,100,100,100,1.000000,848
189,1496691,bijective,100,100,100,1.000000,795
190,1504610,bijective,100,100,100,1.000000,796
191,1512529,bijective,100,100,100,1.000000,802
192,1520448,bijective,100,100,100,1.000000,841
193,1528367,bijective,100,100,100,1.000000,804
194,1536286,bijective,100,100,100,1.000000,812
195,1544205,bijective,100,100,100,1.000000,803
196,1552124,bijective,100,100,100,1.000000,848
197,1560043,bijective,100,100,100,1.000000,796
198,1567962,bijective,100,100,100,1.000000,797
199,1575881,bijective,100,100,100,1.000000,825
200,1583800,surjective_10to1,100,70,10,7.000000,1398
201,1591719,surjective_10to1,100,70,10,7.000000,848
202,1599638,surjective_10to1,100,70,10,7.000000,880
203,1607557,surjective_10to1,100,70,10,7.000000,813
204,1615476,surjective_10to1,100,70,10,7.000000,766
205,1623395,surjective_10to1,100,70,10,7.000000,886
206,1631314,surjective_10to1,100,70,10,7.000000,788
207,1639233,surjective_10to1,100,70,10,7.000000,798
208,1647152,surjective_10to1,100,70,10,7.000000,814
