trial_id,seed,algorithm,start_value,threshold,budget,final_value,distance,attempts_used,converged,rejections
394,3120086,random-100,100,10,200,10,0,108,1,106
395,3128005,random-100,100,10,200,10,0,9,1,8
396,3135924,random-100,100,10,200,10,0,9,1,8
397,3143843,random-100,100,10,200,10,0,13,1,12
398,3151762,random-100,100,10,200,10,0,13,1,12
399,3159681,random-100,100,10,200,10,0,13,1,12
400,3167600,random-100,100,10,500,10,0,8,1,7
401,3175519,random-100,100,10,500,10,0,15,1,14
402,3183438,random-100,100,10,500,10,0,102,1,100
403,3191357,random-100,100,10,500,10,0,87,1,85
404,3199276,random-100,100,10,500,10,0,6,1,5
405,3207195,random-100,100,10,500,10,0,12,1,11
406,3215114,random-100,100,10,500,10,0,98,1,96
407,3223033,random-100,100,10,500,10,0,11,1,10
408,3230952,random-100,100,10,500,10,0,78,1,76
409,3238871,random-100,100,10,500,10,0,11,1,10
410,3246790,random-100,100,10,500,10,0,101,1,99
411,3254709,random-100,100,10,500,10,0,9,1,8
412,3262628,random-100,100,10,500,10,0,105,1,103
413,3270547,random-100,100,10,500,10,0,11,1,10
414,3278466,random-100,100,10,500,10,0,14,1,13
415,3286385,random-100,100,10,500,10,0,14,1,13
416,3294304,random-100,100,10,500,10,0,111,1,109
417,3302223,random-100,100,10,500,10,0,7,1,6
418,3310142,random-100,100,10,500,10,0,103,1,101
419,3318061,random-100,100,10,500,10,0,13,1,12
420,3325980,random-100,100,10,500,10,0,12,1,11
421,3333899,random-100,100,10,500,10,0,6,1,5
422,3341818,random-100,100,10,500,10,0,11,1,10
423,3349737,random-100,100,10,500,10,0,100,1,98
424,3357656,random-100,100,10,500,10,0,9,1,8
425,3365575,random-100,100,10,500,10,0,10,1,9
426,3373494,random-100,100,10,500,10,0,114,1,112
427,3381413,random-100,100,10,500,10,0,13,1,12
428,3389332,random-100,100,10,500,10,0,85,1,83
429,3397251,random-100,100,10,500,10,0,97,1,95
430,3405170,random-100,100,10,500,10,0,7,1,6
431,3413089,random-100,100,10,500,10,0,81,1,79
432,3421008,random-100,100,10,500,10,0,8,1,7
433,3428927,random-100,100,10,500,10,0,14,1,13
434,3436846,random-100,100,10,500,10,0,106,1,104
435,3444765,random-100,100,10,500,10,0,13,1,12
436,3452684,random-100,100,10,500,10,0,6,1,5
437,3460603,random-100,100,10,500,10,0,16,1,15
438,3468522,random-100,100,10,500,10,0,106,1,104
439,3476441,random-100,100,10,500,10,0,16,1,15
440,3484360,random-100,100,10,500,10,0,11,1,10
441,3492279,random-100,100,10,500,10,0,11,1,10
442,3500198,random-100,100,10,500,10,0,7,1,6
443,3508117,random-100,100,10,500,10,0,7,1,6
444,3516036,random-100,100,10,500,10,0,104,1,102
445,3523955,random-100,100,10,500,10,0,12,1,11
446,3531874,random-100,100,10,500,10,0,13,1,12
447,3539793,random-100,100,10,500,10,0,98,1,96
448,3547712,random-100,100,10,500,10,0,15,1,14
449,3555631,random-100,100,10,500,10,0,12,1,11
450,3563550,random-100,100,10,500,10,0,8,1,7
451,3571469,random-100,100,10,500,10,0,105,1,103
452,3579388,random-100,100,10,500,10,0,9,1,8
453,3587307,random-100,100,10,500,10,0,10,1,9
454,3595226,random-100,100,10,500,10,0,13,1,12
455,3603145,random-100,100,10,500,10,0,9,1,8
456,3611064,random-100,100,10,500,10,0,12,1,11
457,3618983,random-100,100,10,500,10,0,14,1,13
458,3626902,random-100,100,10,500,10,0,11,1,10
459,3634821,random-100,100,10,500,10,0,99,1,97
460,3642740,random-100,100,10,500,10,0,7,1,6
461,3650659,random-100,100,10,500,10,0,11,1,10
462,3658578,random-100,100,10,500,10,0,83,1,81
463,3666497,random-100,100,10,500,10,0,13,1,12
464,3674416,random-100,100,10,500,10,0,6,1,5
465,3682335,random-100,100,10,500,10,0,13,1,12
466,3690254,random-100,100,10,500,10,0,9,1,8
467,3698173,random-100,100,10,500,10,0,14,1,13
468,3706092,random-100,100,10,500,10,0,11,1,10
469,3714011,random-100,100,10,500,10,0,82,1,80
470,3721930,random-100,100,10,500,10,0,7,1,6
471,3729849,random-100,100,10,500,10,0,10,1,9
472,3737768,random-100,100,10,500,10,0,102,1,100
473,3745687,random-100,100,10,500,10,0,104,1,102
474,3753606,random-100,100,10,500,10,0,12,1,11
475,3761525,random-100,100,10,500,10,0,13,1,12
476,3769444,random-100,100,10,500,10,0,11,1,10
477,3777363,random-100,100,10,500,10,0,9,1,8
478,3785282,random-100,100,10,500,10,0,11,1,10
479,3793201,random-100,100,10,500,10,0,99,1,97
480,3801120,random-100,100,10,500,10,0,13,1,12
481,3809039,random-100,100,10,500,10,0,100,1,98
482,3816958,random-100,100,10,500,10,0,97,1,95
483,3824877,random-100,100,10,500,10,0,9,1,8
484,3832796,random-100,100,10,500,10,0,15,1,14
485,3840715,random-100,100,10,500,10,0,88,1,86
486,3848634,random-100,100,10,500,10,0,13,1,12
487,3856553,random-100,100,10,500,10,0,106,1,104
488,3864472,random-100,100,10,500,10,0,89,1,87
489,3872391,random-100,100,10,500,10,0,6,1,5
490,3880310,random-100,100,10,500,10,0,13,1,12
491,3888229,random-100,100,10,500,10,0,102,1,100
492,3896148,random-100,100,10,500,10,0,15,1,14
493,3904067,random-100,100,10,500,10,0,101,1,99
494,3911986,random-100,100,10,500,10,0,22,1,21
495,3919905,random-100,100,10,500,10,0,11,1,10
496,3927824,random-100,100,10,500,10,0,96,1,94
497,3935743,random-100,100,10,500,10,0,85,1,83
498,3943662,random-100,100,10,500,10,0,89,1,87
499,3951581,random-100,100,10,500,10,0,8,1,7
500,3959500,random-100,100,10,1000,10,0,12,1,11
501,3967419,random-100,100,10,1000,10,0,107,1,105
502,3975338,random-100,100,10,1000,10,0,13,1,12
503,3983257,random-100,100,10,1000,10,0,10,1,9
504,3991176,random-100,100,10,1000,10,0,105,1,103
505,3999095,random-100,100,10,1000,10,0,15,1,14
