trial_id,seed,bug_type,sampling_mode,bug_detected,detected_by_corner_case,tests_run,corner_cases_used,elapsed_micros
239,1892641,zero_boundary,corner_only,true,,1,3,1
240,1900560,zero_boundary,corner_only,true,,1,3,1
241,1908479,zero_boundary,corner_only,true,,1,3,1
242,1916398,zero_boundary,corner_only,true,,1,3,1
243,1924317,zero_boundary,corner_only,true,,1,3,1
244,1932236,zero_boundary,corner_only,true,,1,3,1
245,1940155,zero_boundary,corner_only,true,,1,3,1
246,1948074,zero_boundary,corner_only,true,,1,3,1
247,1955993,zero_boundary,corner_only,true,,1,3,1
248,1963912,zero_boundary,corner_only,true,,1,3,1
249,1971831,zero_boundary,corner_only,true,,1,3,1
250,1979750,zero_boundary,corner_only,true,,1,3,1
251,1987669,zero_boundary,corner_only,true,,1,3,1
252,1995588,zero_boundary,corner_only,true,,1,3,1
253,2003507,zero_boundary,corner_only,true,,1,3,1
254,2011426,zero_boundary,corner_only,true,,1,3,1
255,2019345,zero_boundary,corner_only,true,,1,3,3
256,2027264,zero_boundary,corner_only,true,,1,3,1
257,2035183,zero_boundary,corner_only,true,,1,3,1
258,2043102,zero_boundary,corner_only,true,,1,3,1
259,2051021,zero_boundary,corner_only,true,,1,3,1
260,2058940,zero_boundary,corner_only,true,,1,3,1
261,2066859,zero_boundary,corner_only,true,,1,3,1
262,2074778,zero_boundary,corner_only,true,,1,3,1
263,2082697,zero_boundary,corner_only,true,,1,3,1
264,2090616,zero_boundary,corner_only,true,,1,3,1
265,2098535,zero_boundary,corner_only,true,,1,3,1
266,2106454,zero_boundary,corner_only,true,,1,3,1
267,2114373,zero_boundary,corner_only,true,,1,3,1
268,2122292,zero_boundary,corner_only,true,,1,3,1
269,2130211,zero_boundary,corner_only,true,,1,3,1
270,2138130,zero_boundary,corner_only,true,,1,3,1
271,2146049,zero_boundary,corner_only,true,,1,3,1
272,2153968,zero_boundary,corner_only,true,,1,3,1
273,2161887,zero_boundary,corner_only,true,,1,3,1
274,2169806,zero_boundary,corner_only,true,,1,3,1
275,2177725,zero_boundary,corner_only,true,,1,3,1
276,2185644,zero_boundary,corner_only,true,,1,3,1
277,2193563,zero_boundary,corner_only,true,,1,3,1
278,2201482,zero_boundary,corner_only,true,,1,3,1
279,2209401,zero_boundary,corner_only,true,,1,3,1
280,2217320,zero_boundary,corner_only,true,,1,3,1
281,2225239,zero_boundary,corner_only,true,,1,3,1
282,2233158,zero_boundary,corner_only,true,,1,3,1
283,2241077,zero_boundary,corner_only,true,,1,3,1
284,2248996,zero_boundary,corner_only,true,,1,3,1
285,2256915,zero_boundary,corner_only,true,,1,3,1
286,2264834,zero_boundary,corner_only,true,,1,3,1
287,2272753,zero_boundary,corner_only,true,,1,3,1
288,2280672,zero_boundary,corner_only,true,,1,3,1
289,2288591,zero_boundary,corner_only,true,,1,3,1
290,2296510,zero_boundary,corner_only,true,,1,3,1
291,2304429,zero_boundary,corner_only,true,,1,3,1
292,2312348,zero_boundary,corner_only,true,,1,3,1
293,2320267,zero_boundary,corner_only,true,,1,3,1
294,2328186,zero_boundary,corner_only,true,,1,3,1
295,2336105,zero_boundary,corner_only,true,,1,3,1
296,2344024,zero_boundary,corner_only,true,,1,3,1
297,2351943,zero_boundary,corner_only,true,,1,3,1
298,2359862,zero_boundary,corner_only,true,,1,3,1
299,2367781,zero_boundary,corner_only,true,,1,3,1
300,2375700,zero_boundary,corner_only,true,,1,3,1
301,2383619,zero_boundary,corner_only,true,,1,3,1
