trial_id,seed,quantifier_order,initial_a,initial_b,initial_c,final_a,final_b,final_c,elapsed_micros
159,1259121,abc,19,64,88,0,51,100,24014
160,1267040,abc,11,91,61,0,54,97,25851
161,1274959,abc,71,11,69,0,53,98,16697
162,1282878,abc,64,85,76,0,55,96,25434
163,1290797,abc,39,80,86,0,52,100,14229
164,1298716,abc,77,71,54,0,53,99,20510
165,1306635,abc,46,32,90,0,55,97,16564
166,1314554,abc,84,85,81,0,53,98,25014
167,1322473,abc,58,35,66,0,52,99,16607
168,1330392,abc,27,65,96,0,52,99,12519
169,1338311,abc,2,55,98,0,51,100,18522
170,1346230,abc,62,41,51,0,53,99,18775
171,1354149,abc,43,20,97,0,55,96,14681
172,1362068,abc,53,36,73,0,52,100,18590
173,1369987,abc,42,29,89,0,54,97,25303
174,1377906,abc,41,62,65,0,54,97,17639
175,1385825,abc,68,45,79,0,54,97,25753
176,1393744,abc,64,51,86,0,53,98,25952
177,1401663,abc,46,62,57,0,59,93,12342
178,1409582,abc,48,36,72,0,54,97,20786
179,1417501,abc,23,56,86,0,52,100,17967
180,1425420,abc,97,97,87,0,51,100,19050
181,1433339,abc,89,84,91,0,56,96,25168
182,1441258,abc,61,61,84,0,55,98,16141
183,1449177,abc,28,81,84,0,51,100,18459
184,1457096,abc,75,60,47,0,55,96,18259
185,1465015,abc,66,79,54,0,51,100,21591
186,1472934,abc,60,22,72,0,55,96,24174
187,1480853,abc,96,18,70,0,52,99,20165
188,1488772,abc,12,93,55,0,51,100,24989
189,1496691,abc,56,53,65,0,51,100,15008
190,1504610,abc,88,37,38,0,55,96,16140
191,1512529,abc,29,63,88,0,54,98,25413
192,1520448,abc,20,91,83,0,53,98,14470
193,1528367,abc,93,53,53,0,54,97,20872
194,1536286,abc,45,77,83,0,57,94,13322
195,1544205,abc,70,87,53,0,53,99,25081
196,1552124,abc,35,94,23,0,52,99,21694
197,1560043,abc,21,35,95,0,51,100,19054
198,1567962,abc,17,51,91,0,52,99,27690
199,1575881,abc,91,95,14,0,53,98,23390
200,1583800,bac,20,43,91,58,0,94,13602
201,1591719,bac,85,60,44,53,0,98,26451
202,1599638,bac,39,95,76,52,0,99,26784
203,1607557,bac,27,78,78,54,0,97,13044
204,1615476,bac,98,60,0,52,0,100,13569
205,1623395,bac,84,43,30,53,0,98,11972
