trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,warmup_samples,relative_error
313,2478647,filter_10pct,100,111,99.00,124.00,25.00,true,200,0.110000
314,2486566,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
315,2494485,filter_10pct,100,107,95.00,119.00,24.00,true,200,0.070000
316,2502404,filter_10pct,100,96,86.00,107.00,21.00,true,200,0.040000
317,2510323,filter_10pct,100,103,92.00,116.00,24.00,true,200,0.030000
318,2518242,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
319,2526161,filter_10pct,100,96,86.00,108.00,22.00,true,200,0.040000
320,2534080,filter_10pct,100,106,95.00,118.00,23.00,true,200,0.060000
321,2541999,filter_10pct,100,100,90.00,112.00,22.00,true,200,0.000000
322,2549918,filter_10pct,100,92,82.00,103.00,21.00,true,200,0.080000
323,2557837,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
324,2565756,filter_10pct,100,107,95.00,119.00,24.00,true,200,0.070000
325,2573675,filter_10pct,100,99,88.00,111.00,23.00,true,200,0.010000
326,2581594,filter_10pct,100,96,86.00,108.00,22.00,true,200,0.040000
327,2589513,filter_10pct,100,105,94.00,117.00,23.00,true,200,0.050000
328,2597432,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
329,2605351,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
330,2613270,filter_10pct,100,113,101.00,126.00,25.00,false,200,0.130000
331,2621189,filter_10pct,100,90,80.00,100.00,20.00,true,200,0.100000
332,2629108,filter_10pct,100,95,85.00,107.00,22.00,true,200,0.050000
333,2637027,filter_10pct,100,110,98.00,123.00,25.00,true,200,0.100000
334,2644946,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
335,2652865,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
336,2660784,filter_10pct,100,100,89.00,112.00,23.00,true,200,0.000000
337,2668703,filter_10pct,100,110,99.00,123.00,24.00,true,200,0.100000
338,2676622,filter_10pct,100,99,89.00,111.00,22.00,true,200,0.010000
