scenario,pass_rate,true_size,estimated_size,ci_lower,ci_upper,ci_width,covered,relative_error
product_independent,0.5,250000,265104,193070,347378,154308,true,0.060416
product_independent,0.5,250000,254000,184458,334642,150184,true,0.016
product_independent,0.5,250000,385203,288500,484866,196366,false,0.540812
product_independent,0.5,250000,265680,193578,348090,154512,true,0.06272
product_independent,0.5,250000,240000,173808,317422,143614,true,0.04
product_independent,0.5,250000,253055,183658,333606,149948,true,0.01222
product_independent,0.5,250000,235235,170226,311984,141758,true,0.05906
product_independent,0.5,250000,279585,203642,363940,160298,true,0.11834
product_independent,0.5,250000,231336,167270,306340,139070,true,0.074656
product_independent,0.5,250000,255059,185500,334413,148913,true,0.020236
product_independent,0.5,250000,256032,186190,336974,150784,true,0.024128
product_independent,0.5,250000,254000,184458,334642,150184,true,0.016
product_independent,0.5,250000,275520,201120,359976,158856,true,0.10208
product_independent,0.5,250000,306832,225593,396440,170847,true,0.227328
product_independent,0.5,250000,223713,161190,297558,136368,true,0.105148
product_independent,0.5,250000,265960,193390,348440,155050,true,0.06384
product_independent,0.5,250000,287040,210528,372722,162194,true,0.14816
product_independent,0.5,250000,263220,191902,345826,153924,true,0.05288
product_independent,0.5,250000,275880,201880,359822,157942,true,0.10352
product_independent,0.5,250000,291264,213690,378654,164964,true,0.165056
product_independent,0.5,250000,270600,197349,353750,156401,true,0.0824
product_independent,0.5,250000,267120,195220,350268,155048,true,0.06848
product_independent,0.5,250000,282720,206780,368220,161440,true,0.13088
product_independent,0.5,250000,317704,233929,408680,174751,true,0.270816
product_independent,0.5,250000,328900,243036,421250,178214,true,0.3156
product_independent,0.5,250000,271942,198009,355792,157783,true,0.087768
product_independent,0.5,250000,267245,194485,349986,155501,true,0.06898
product_independent,0.5,250000,300377,220500,388944,168444,true,0.201508
product_independent,0.5,250000,253260,183876,333330,149454,true,0.01304
product_independent,0.5,250000,217464,156706,290358,133652,true,0.130144
product_independent,0.5,250000,272500,198516,355880,157364,true,0.09
product_independent,0.5,250000,223608,161504,297438,135934,true,0.105568
product_independent,0.5,250000,274455,200146,358657,158511,true,0.09782
product_independent,0.5,250000,282500,206610,367934,161324,true,0.13
product_independent,0.5,250000,282384,206550,367281,160731,true,0.129536
product_independent,0.5,250000,238080,172176,315210,143034,true,0.04768
product_independent,0.5,250000,281410,205642,367211,161569,true,0.12564
product_independent,0.5,250000,249936,181427,329978,148551,true,0.000256
product_independent,0.5,250000,264985,193030,347422,154392,true,0.05994
