trial_id,seed,strategy,quantifier_order,budget,final_pos1,distance_pos1,optimal_pos1,final_pos2,distance_pos2,optimal_pos2,final_pos3,distance_pos3,optimal_pos3,final_pos4,distance_pos4,optimal_pos4,final_pos5,distance_pos5,optimal_pos5,variance,mean_distance,total_distance,attempts,rounds,elapsed_micros
111,879009,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,3599,3589,0,8430215,8430205,0,4607407,4607397,0,11656388759771.76,2608238.2,13041191,0,0,109383
112,886928,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,7618,7608,0,8350782,8350772,0,4915814,4915804,0,11731957534178.56,2654836.8,13274184,0,0,109243
113,894847,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,18818,18808,0,5058779,5058769,0,7249591,7249581,0,9551231468078.64,2465431.6,12327158,0,0,107980
114,902766,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,22560,22550,0,5037874,5037864,0,9134281,9134271,0,13703534487318.4,2838937,14194685,0,0,109026
115,910685,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,1280088,1280078,0,7635779,7635769,0,8189250,8189240,0,13698083885906.238,3421017.4,17105087,0,0,108250
116,918604,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,31347,31337,0,5162886,5162876,0,1554741,1554731,0,3992762011655.7603,1349788.8,6748944,0,0,108551
117,926523,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,51676,51666,0,4595478,4595468,0,9474806,9474796,0,14201394674243.2,2824386,14121930,0,0,108705
118,934442,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,2108092,2108082,0,6575732,6575722,0,1263306,1263296,0,5898217328324.8,1989420,9947100,0,0,108746
119,942361,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,278286,278276,0,3458941,3458931,0,4161897,4161887,0,3376761478307.7603,1579818.8,7899094,0,0,109266
120,950280,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,14926,14916,0,8230441,8230431,0,1238457,1238447,0,10257099635547.762,1896758.8,9483794,0,0,113309
121,958199,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,4085,4075,0,4393003,4392993,0,1635016,1635006,0,2938893075082.96,1206414.8,6032074,0,0,111707
122,966118,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,26488,26478,0,9250346,9250336,0,3491563,3491553,0,13030824075970.238,2553673.4,12768367,0,0,108725
123,974037,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,29597,29587,0,1176994,1176984,0,2166123,2166113,0,760642556564.5599,674536.8,3372684,0,0,108865
124,981956,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,9028,9018,0,2158870,2158860,0,6881154,6881144,0,7126788148272.639,1809804.4,9049022,0,0,109058
125,989875,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,1826,1816,0,8662463,8662453,0,6581993,6581983,0,14374191095570.64,3049250.4,15246252,0,0,107975
126,997794,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,1725485,1725475,0,4193073,4193063,0,3336221,3336211,0,2911853864702.96,1850949.8,9254749,0,0,109681
127,1005713,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,890066,890056,0,4243248,4243238,0,3133951,3133941,0,2989883938043.2,1653447,8267235,0,0,163025
128,1013632,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,278924,278914,0,3178254,3178244,0,5410465,5410455,0,4745027837280.64,1773522.6,8867613,0,0,109090
129,1021551,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,506663,506653,0,3396201,3396191,0,4522862,4522852,0,3609706033582.159,1685139.2,8425696,0,0,108593
130,1029470,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,2026,2016,0,6842119,6842109,0,2150435,2150425,0,7051680274452.4,1798910,8994550,0,0,109248
131,1037389,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,265227,265217,0,3176993,3176983,0,7262873,7262863,0,7998613045870.641,2141012.6,10705063,0,0,108019
132,1045308,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,24541,24531,0,9567563,9567553,0,4749411,4749401,0,14591968727105.2,2868297,14341485,0,0,108534
133,1053227,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,1212535,1212525,0,6743749,6743739,0,6207984,6207974,0,9072409227258.64,2832847.6,14164238,0,0,108509
134,1061146,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,6878,6868,0,3641868,3641858,0,723322,723312,0,1992682771248.64,874407.6,4372038,0,0,108814
135,1069065,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,30,20,0,8787501,8787491,0,3389617,3389607,0,11810598626549.043,2435423.6,12177118,0,0,108841
136,1076984,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,36958,36948,0,7774909,7774899,0,1199327,1199317,0,9129713110882.96,1802232.8,9011164,0,0,108378
137,1084903,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,12781,12771,0,3134288,3134278,0,3157170,3157160,0,2368582144437.7603,1260841.8,6304209,0,0,108419
138,1092822,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,817596,817586,0,2952296,2952286,0,3934623,3934613,0,2598760225983.2,1540897,7704485,0,0,109128
139,1100741,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,29,19,0,1410757,1410747,0,7560470,7560460,0,8610836664270.959,1794245.2,8971226,0,0,107869
140,1108660,sequential-exhaustive,abcde,2000,10,0,1,10,0,1,8344,8334,0,1033787,1033777,0,7921555,7921545,0,9550042750208.559,1792731.2,8963656,0,0,106724
