trial_id,seed,depth,true_size,estimated_size,ci_lower,ci_upper,ci_width,relative_width,true_in_ci,relative_error,oracle_lower,oracle_upper,oracle_width,true_in_oracle,width_ratio_vs_oracle
131,245489,2,2500,2544,2064.00,2964.00,900.00,0.3600,true,0.017600,2127.34,2946.16,818.82,true,1.0991
132,253408,2,2500,2438,2016.00,2850.00,834.00,0.3336,true,0.024800,2127.08,2938.16,811.08,true,1.0283
133,261327,2,2500,2397,1932.00,2805.00,873.00,0.3492,true,0.041200,2126.73,2941.37,814.63,true,1.0716
134,269246,2,2500,2550,2115.00,3024.00,909.00,0.3636,true,0.020000,2130.05,2955.24,825.19,true,1.1016
135,277165,2,2500,2754,2254.00,3190.00,936.00,0.3744,true,0.101600,2123.90,2953.16,829.26,true,1.1287
136,285084,2,2500,2860,2350.00,3304.00,954.00,0.3816,true,0.144000,2118.30,2950.76,832.46,true,1.1460
137,293003,2,2500,2704,2256.00,3192.00,936.00,0.3744,true,0.081600,2130.21,2944.74,814.53,true,1.1491
138,300922,2,2500,2550,2070.00,2970.00,900.00,0.3600,true,0.020000,2126.65,2947.72,821.08,true,1.0961
139,308841,2,2500,2491,2064.00,3016.00,952.00,0.3808,true,0.003600,2123.67,2942.94,819.27,true,1.1620
140,316760,2,2500,2499,2115.00,3024.00,909.00,0.3636,true,0.000400,2123.86,2941.27,817.41,true,1.1121
141,324679,2,2500,2346,1932.00,2805.00,873.00,0.3492,true,0.061600,2130.94,2950.10,819.16,true,1.0657
142,332598,2,2500,2703,2256.00,3248.00,992.00,0.3968,true,0.081200,2121.77,2937.85,816.08,true,1.2156
143,340517,2,2500,2650,2208.00,3135.00,927.00,0.3708,true,0.060000,2121.45,2950.61,829.16,true,1.1180
144,348436,2,2500,2652,2162.00,3080.00,918.00,0.3672,true,0.060800,2125.51,2946.44,820.93,true,1.1182
145,356355,2,2500,2484,2058.00,3009.00,951.00,0.3804,true,0.006400,2130.51,2942.22,811.71,true,1.1716
146,364274,2,2500,2646,2205.00,3132.00,927.00,0.3708,true,0.058400,2124.70,2949.06,824.36,true,1.1245
147,372193,2,2500,2550,2115.00,3024.00,909.00,0.3636,true,0.020000,2133.07,2941.01,807.93,true,1.1251
148,380112,2,2500,2496,2068.00,2968.00,900.00,0.3600,true,0.001600,2125.69,2941.43,815.73,true,1.1033
149,388031,2,2500,2438,2016.00,2907.00,891.00,0.3564,true,0.024800,2121.83,2953.63,831.80,true,1.0712
150,395950,2,2500,2496,2068.00,2968.00,900.00,0.3600,true,0.001600,2129.04,2943.85,814.81,true,1.1046
151,403869,2,2500,2544,2112.00,3074.00,962.00,0.3848,true,0.017600,2118.98,2952.40,833.42,true,1.1543
