trial_id,seed,scenario,parent_base_max,parent_true_size,parent_pass_rate,parent_est_size,parent_ci_lower,parent_ci_upper,parent_true_in_ci,parent_ci_width,shrink_value,shrunk_true_size,shrunk_pass_rate,warmup0_est_size,warmup0_ci_lower,warmup0_ci_upper,warmup0_true_in_ci,warmup0_ci_width,warmup10_est_size,warmup10_ci_lower,warmup10_ci_upper,warmup10_true_in_ci,warmup10_ci_width,warmup50_est_size,warmup50_ci_lower,warmup50_ci_upper,warmup50_true_in_ci,warmup50_ci_width,warmup100_est_size,warmup100_ci_lower,warmup100_ci_upper,warmup100_true_in_ci,warmup100_ci_width
53,419707,same_pass_rate_mod2,999,500,0.5000,505,449.00,560.00,true,111.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,125,106.00,144.00,true,38.00,124,110.00,138.00,true,28.00
54,427626,same_pass_rate_mod2,999,500,0.5000,500,445.00,555.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,135,102.00,166.00,true,64.00,118,100.00,137.00,true,37.00,116,102.00,129.00,true,27.00
55,435545,same_pass_rate_mod2,999,500,0.5000,509,453.00,565.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,138,105.00,170.00,true,65.00,128,109.00,147.00,true,38.00,130,116.00,145.00,true,29.00
56,443464,same_pass_rate_mod2,999,500,0.5000,519,462.00,575.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,103,76.00,132.00,true,56.00,104,87.00,121.00,false,34.00,114,101.00,128.00,true,27.00
57,451383,same_pass_rate_mod2,999,500,0.5000,529,471.00,585.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,117,87.00,147.00,true,60.00,116,98.00,135.00,true,37.00,115,102.00,129.00,true,27.00
58,459302,same_pass_rate_mod2,999,500,0.5000,521,464.00,577.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,142,108.00,173.00,true,65.00,133,113.00,152.00,true,39.00,132,117.00,146.00,true,29.00
59,467221,same_pass_rate_mod2,999,500,0.5000,531,474.00,588.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,99,73.00,128.00,true,55.00,122,103.00,141.00,true,38.00,115,101.00,128.00,true,27.00
60,475140,same_pass_rate_mod2,999,500,0.5000,500,445.00,555.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,122,91.00,153.00,true,62.00,136,116.00,155.00,true,39.00,127,112.00,141.00,true,29.00
61,483059,same_pass_rate_mod2,999,500,0.5000,521,464.00,577.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,107,79.00,137.00,true,58.00,123,104.00,142.00,true,38.00,123,109.00,137.00,true,28.00
62,490978,same_pass_rate_mod2,999,500,0.5000,524,467.00,580.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,121,103.00,140.00,true,37.00,119,105.00,133.00,true,28.00
63,498897,same_pass_rate_mod2,999,500,0.5000,552,494.00,609.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,145,125.00,165.00,true,40.00,135,120.00,150.00,true,30.00
64,506816,same_pass_rate_mod2,999,500,0.5000,512,455.00,567.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,107,79.00,137.00,true,58.00,119,101.00,138.00,true,37.00,118,104.00,131.00,true,27.00
