trial_id,seed,tests_run,bug_found,claimed_confidence,property_type,true_pass_rate,target_confidence,pass_rate_threshold,termination_reason,elapsed_micros
163,1290797,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,105
164,1298716,37,true,0.997819,common_failure,0.9900,0.95,0.8,bugFound,56
165,1306635,9,true,0.624190,common_failure,0.9900,0.95,0.8,bugFound,37
166,1314554,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,222
167,1322473,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,123
168,1330392,5,true,0.344640,common_failure,0.9900,0.95,0.8,bugFound,37
169,1338311,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,179
170,1346230,40,true,0.998804,common_failure,0.9900,0.95,0.8,bugFound,261
171,1354149,39,true,0.998538,common_failure,0.9900,0.95,0.8,bugFound,63
172,1362068,13,true,0.802088,common_failure,0.9900,0.95,0.8,bugFound,51
173,1369987,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,107
174,1377906,23,true,0.966943,common_failure,0.9900,0.95,0.8,bugFound,45
175,1385825,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,101
176,1393744,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,116
177,1401663,11,true,0.725122,common_failure,0.9900,0.95,0.8,bugFound,47
178,1409582,9,true,0.624190,common_failure,0.9900,0.95,0.8,bugFound,73
179,1417501,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,157
180,1425420,58,true,0.999970,common_failure,0.9900,0.95,0.8,bugFound,76
181,1433339,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,103
182,1441258,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,109
183,1449177,49,true,0.999807,common_failure,0.9900,0.95,0.8,bugFound,73
184,1457096,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,121
185,1465015,94,true,1.000000,common_failure,0.9900,0.95,0.8,bugFound,303
186,1472934,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,113
187,1480853,56,true,0.999954,common_failure,0.9900,0.95,0.8,bugFound,72
188,1488772,56,true,0.999954,common_failure,0.9900,0.95,0.8,bugFound,92
189,1496691,25,true,0.977333,common_failure,0.9900,0.95,0.8,bugFound,59
190,1504610,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,101
191,1512529,34,true,0.996045,common_failure,0.9900,0.95,0.8,bugFound,53
192,1520448,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,99
193,1528367,69,true,0.999997,common_failure,0.9900,0.95,0.8,bugFound,76
194,1536286,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,98
195,1544205,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,143
196,1552124,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,119
197,1560043,100,false,1.000000,common_failure,0.9900,0.95,0.8,confidence,158
