trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,relative_error
277,609763,magnitude_dependent,150,160,144.00,178.00,true,0.066667
278,617682,magnitude_dependent,150,163,146.00,181.00,true,0.086667
279,625601,magnitude_dependent,150,159,143.00,177.00,true,0.060000
280,633520,magnitude_dependent,150,140,125.00,156.00,true,0.066667
281,641439,magnitude_dependent,150,159,143.00,177.00,true,0.060000
282,649358,magnitude_dependent,150,137,123.00,153.00,true,0.086667
283,657277,magnitude_dependent,150,136,122.00,152.00,true,0.093333
284,665196,magnitude_dependent,150,141,126.00,157.00,true,0.060000
285,673115,magnitude_dependent,150,139,125.00,155.00,true,0.073333
286,681034,magnitude_dependent,150,138,124.00,154.00,true,0.080000
287,688953,magnitude_dependent,150,145,130.00,162.00,true,0.033333
288,696872,magnitude_dependent,150,152,136.00,169.00,true,0.013333
289,704791,magnitude_dependent,150,150,134.00,167.00,true,0.000000
290,712710,magnitude_dependent,150,139,125.00,155.00,true,0.073333
291,720629,magnitude_dependent,150,143,128.00,159.00,true,0.046667
292,728548,magnitude_dependent,150,165,148.00,183.00,true,0.100000
293,736467,magnitude_dependent,150,151,135.00,168.00,true,0.006667
294,744386,magnitude_dependent,150,153,137.00,170.00,true,0.020000
295,752305,magnitude_dependent,150,143,128.00,159.00,true,0.046667
296,760224,magnitude_dependent,150,141,126.00,157.00,true,0.060000
297,768143,magnitude_dependent,150,147,131.00,163.00,true,0.020000
298,776062,magnitude_dependent,150,153,137.00,170.00,true,0.020000
299,783981,magnitude_dependent,150,154,138.00,172.00,true,0.026667
300,0,bit_pattern_even,512,506,465.00,547.00,true,0.011719
301,7919,bit_pattern_even,512,526,484.00,567.00,true,0.027344
302,15838,bit_pattern_even,512,514,473.00,556.00,true,0.003906
303,23757,bit_pattern_even,512,523,481.00,565.00,true,0.021484
304,31676,bit_pattern_even,512,532,490.00,574.00,true,0.039063
305,39595,bit_pattern_even,512,517,475.00,558.00,true,0.009766
306,47514,bit_pattern_even,512,535,492.00,577.00,true,0.044922
307,55433,bit_pattern_even,512,530,487.00,571.00,true,0.035156
308,63352,bit_pattern_even,512,506,465.00,547.00,true,0.011719
309,71271,bit_pattern_even,512,473,433.00,513.00,true,0.076172
310,79190,bit_pattern_even,512,516,474.00,557.00,true,0.007813
311,87109,bit_pattern_even,512,521,479.00,562.00,true,0.017578
312,95028,bit_pattern_even,512,554,511.00,597.00,true,0.082031
313,102947,bit_pattern_even,512,516,474.00,557.00,true,0.007813
314,110866,bit_pattern_even,512,527,485.00,569.00,true,0.029297
315,118785,bit_pattern_even,512,537,495.00,580.00,true,0.048828
316,126704,bit_pattern_even,512,504,463.00,545.00,true,0.015625
317,134623,bit_pattern_even,512,505,464.00,546.00,true,0.013672
318,142542,bit_pattern_even,512,523,481.00,565.00,true,0.021484
319,150461,bit_pattern_even,512,537,495.00,580.00,true,0.048828
320,158380,bit_pattern_even,512,513,472.00,555.00,true,0.001953
321,166299,bit_pattern_even,512,535,492.00,577.00,true,0.044922
322,174218,bit_pattern_even,512,518,476.00,560.00,true,0.011719
323,182137,bit_pattern_even,512,502,462.00,544.00,true,0.019531
324,190056,bit_pattern_even,512,531,489.00,573.00,true,0.037109
325,197975,bit_pattern_even,512,536,494.00,578.00,true,0.046875
326,205894,bit_pattern_even,512,540,498.00,582.00,true,0.054688
327,213813,bit_pattern_even,512,573,529.00,616.00,false,0.119141
328,221732,bit_pattern_even,512,491,451.00,532.00,true,0.041016
329,229651,bit_pattern_even,512,528,486.00,570.00,true,0.031250
330,237570,bit_pattern_even,512,514,473.00,556.00,true,0.003906
331,245489,bit_pattern_even,512,514,473.00,556.00,true,0.003906
332,253408,bit_pattern_even,512,511,469.00,552.00,true,0.001953
333,261327,bit_pattern_even,512,508,467.00,550.00,true,0.007813
334,269246,bit_pattern_even,512,496,455.00,536.00,true,0.031250
335,277165,bit_pattern_even,512,560,516.00,602.00,false,0.093750
