trial_id,seed,algorithm,start_value,target_value,budget,final_value,distance,attempts_used,converged,convergence_attempt
367,2906273,random-100,100,10,200,10,0,2,1,2
368,2914192,random-100,100,10,200,10,0,2,1,2
369,2922111,random-100,100,10,200,10,0,1,1,1
370,2930030,random-100,100,10,200,10,0,2,1,2
371,2937949,random-100,100,10,200,10,0,2,1,2
372,2945868,random-100,100,10,200,10,0,1,1,1
373,2953787,random-100,100,10,200,10,0,1,1,1
374,2961706,random-100,100,10,200,10,0,1,1,1
375,2969625,random-100,100,10,200,10,0,2,1,2
376,2977544,random-100,100,10,200,10,0,1,1,1
377,2985463,random-100,100,10,200,10,0,1,1,1
378,2993382,random-100,100,10,200,10,0,1,1,1
379,3001301,random-100,100,10,200,10,0,1,1,1
380,3009220,random-100,100,10,200,10,0,2,1,2
381,3017139,random-100,100,10,200,10,0,1,1,1
382,3025058,random-100,100,10,200,10,0,1,1,1
383,3032977,random-100,100,10,200,10,0,2,1,2
384,3040896,random-100,100,10,200,10,0,1,1,1
385,3048815,random-100,100,10,200,10,0,1,1,1
386,3056734,random-100,100,10,200,10,0,1,1,1
387,3064653,random-100,100,10,200,10,0,1,1,1
388,3072572,random-100,100,10,200,10,0,1,1,1
389,3080491,random-100,100,10,200,10,0,1,1,1
390,3088410,random-100,100,10,200,10,0,1,1,1
391,3096329,random-100,100,10,200,10,0,1,1,1
392,3104248,random-100,100,10,200,10,0,1,1,1
393,3112167,random-100,100,10,200,10,0,1,1,1
394,3120086,random-100,100,10,200,10,0,1,1,1
395,3128005,random-100,100,10,200,10,0,1,1,1
396,3135924,random-100,100,10,200,10,0,2,1,2
397,3143843,random-100,100,10,200,10,0,2,1,2
398,3151762,random-100,100,10,200,10,0,2,1,2
399,3159681,random-100,100,10,200,10,0,1,1,1
400,3167600,random-100,100,10,500,10,0,1,1,1
401,3175519,random-100,100,10,500,10,0,1,1,1
402,3183438,random-100,100,10,500,10,0,1,1,1
403,3191357,random-100,100,10,500,10,0,1,1,1
404,3199276,random-100,100,10,500,10,0,1,1,1
405,3207195,random-100,100,10,500,10,0,1,1,1
406,3215114,random-100,100,10,500,10,0,1,1,1
407,3223033,random-100,100,10,500,10,0,1,1,1
408,3230952,random-100,100,10,500,10,0,1,1,1
409,3238871,random-100,100,10,500,10,0,1,1,1
