trial_id,seed,tests_run,bug_found,claimed_confidence,true_pass_rate,threshold,target_confidence,threshold_actually_met,termination_reason,elapsed_micros,outcome
173,1369987,100,false,0.994375,0.999,0.95,0.9,true,confidence,104,TP
174,1377906,100,false,0.994375,0.999,0.95,0.9,true,confidence,102,TP
175,1385825,100,false,0.994375,0.999,0.95,0.9,true,confidence,215,TP
176,1393744,25,true,0.375873,0.999,0.95,0.9,true,bugFound,58,FN
177,1401663,100,false,0.994375,0.999,0.95,0.9,true,confidence,104,TP
178,1409582,100,false,0.994375,0.999,0.95,0.9,true,confidence,101,TP
179,1417501,100,false,0.994375,0.999,0.95,0.9,true,confidence,101,TP
180,1425420,100,false,0.994375,0.999,0.95,0.9,true,confidence,124,TP
181,1433339,100,false,0.994375,0.999,0.95,0.9,true,confidence,110,TP
182,1441258,100,false,0.994375,0.999,0.95,0.9,true,confidence,104,TP
183,1449177,100,false,0.994375,0.999,0.95,0.9,true,confidence,110,TP
184,1457096,100,false,0.994375,0.999,0.95,0.9,true,confidence,108,TP
185,1465015,100,false,0.994375,0.999,0.95,0.9,true,confidence,108,TP
186,1472934,100,false,0.994375,0.999,0.95,0.9,true,confidence,100,TP
187,1480853,100,false,0.994375,0.999,0.95,0.9,true,confidence,189,TP
188,1488772,100,false,0.994375,0.999,0.95,0.9,true,confidence,103,TP
189,1496691,100,false,0.994375,0.999,0.95,0.9,true,confidence,99,TP
190,1504610,100,false,0.994375,0.999,0.95,0.9,true,confidence,100,TP
191,1512529,100,false,0.994375,0.999,0.95,0.9,true,confidence,99,TP
192,1520448,100,false,0.994375,0.999,0.95,0.9,true,confidence,102,TP
193,1528367,100,false,0.994375,0.999,0.95,0.9,true,confidence,99,TP
194,1536286,100,false,0.994375,0.999,0.95,0.9,true,confidence,100,TP
195,1544205,100,false,0.994375,0.999,0.95,0.9,true,confidence,99,TP
196,1552124,100,false,0.994375,0.999,0.95,0.9,true,confidence,101,TP
197,1560043,8,true,0.071211,0.999,0.95,0.9,true,bugFound,47,FN
198,1567962,100,false,0.994375,0.999,0.95,0.9,true,confidence,103,TP
199,1575881,100,false,0.994375,0.999,0.95,0.9,true,confidence,238,TP
200,1583800,100,false,0.994375,0.999,0.95,0.95,true,confidence,101,TP
201,1591719,100,false,0.994375,0.999,0.95,0.95,true,confidence,100,TP
202,1599638,100,false,0.994375,0.999,0.95,0.95,true,confidence,109,TP
203,1607557,100,false,0.994375,0.999,0.95,0.95,true,confidence,101,TP
204,1615476,100,false,0.994375,0.999,0.95,0.95,true,confidence,97,TP
205,1623395,100,false,0.994375,0.999,0.95,0.95,true,confidence,97,TP
206,1631314,100,false,0.994375,0.999,0.95,0.95,true,confidence,98,TP
207,1639233,100,false,0.994375,0.999,0.95,0.95,true,confidence,98,TP
208,1647152,100,false,0.994375,0.999,0.95,0.95,true,confidence,105,TP
209,1655071,45,true,0.676819,0.999,0.95,0.95,true,bugFound,70,FN
210,1662990,100,false,0.994375,0.999,0.95,0.95,true,confidence,110,TP
211,1670909,87,true,0.938297,0.999,0.95,0.95,true,bugFound,191,FN
212,1678828,100,false,0.994375,0.999,0.95,0.95,true,confidence,98,TP
213,1686747,100,false,0.994375,0.999,0.95,0.95,true,confidence,119,TP
214,1694666,100,false,0.994375,0.999,0.95,0.95,true,confidence,104,TP
215,1702585,100,false,0.994375,0.999,0.95,0.95,true,confidence,97,TP
216,1710504,100,false,0.994375,0.999,0.95,0.95,true,confidence,97,TP
217,1718423,100,false,0.994375,0.999,0.95,0.95,true,confidence,96,TP
218,1726342,86,true,0.935656,0.999,0.95,0.95,true,bugFound,93,FN
219,1734261,100,false,0.994375,0.999,0.95,0.95,true,confidence,111,TP
220,1742180,100,false,0.994375,0.999,0.95,0.95,true,confidence,99,TP
221,1750099,100,false,0.994375,0.999,0.95,0.95,true,confidence,100,TP
222,1758018,100,false,0.994375,0.999,0.95,0.95,true,confidence,96,TP
223,1765937,100,false,0.994375,0.999,0.95,0.95,true,confidence,191,TP
224,1773856,100,false,0.994375,0.999,0.95,0.95,true,confidence,97,TP
225,1781775,100,false,0.994375,0.999,0.95,0.95,true,confidence,98,TP
226,1789694,52,true,0.750006,0.999,0.95,0.95,true,bugFound,76,FN
227,1797613,100,false,0.994375,0.999,0.95,0.95,true,confidence,100,TP
228,1805532,100,false,0.994375,0.999,0.95,0.95,true,confidence,101,TP
229,1813451,100,false,0.994375,0.999,0.95,0.95,true,confidence,99,TP
230,1821370,100,false,0.994375,0.999,0.95,0.95,true,confidence,96,TP
231,1829289,100,false,0.994375,0.999,0.95,0.95,true,confidence,96,TP
232,1837208,100,false,0.994375,0.999,0.95,0.95,true,confidence,96,TP
233,1845127,27,true,0.411691,0.999,0.95,0.95,true,bugFound,64,FN
234,1853046,100,false,0.994375,0.999,0.95,0.95,true,confidence,101,TP
235,1860965,100,false,0.994375,0.999,0.95,0.95,true,confidence,114,TP
236,1868884,100,false,0.994375,0.999,0.95,0.95,true,confidence,222,TP
237,1876803,100,false,0.994375,0.999,0.95,0.95,true,confidence,111,TP
238,1884722,100,false,0.994375,0.999,0.95,0.95,true,confidence,101,TP
239,1892641,100,false,0.994375,0.999,0.95,0.95,true,confidence,100,TP
240,1900560,100,false,0.994375,0.999,0.95,0.95,true,confidence,100,TP
241,1908479,100,false,0.994375,0.999,0.95,0.95,true,confidence,101,TP
242,1916398,100,false,0.994375,0.999,0.95,0.95,true,confidence,105,TP
243,1924317,100,false,0.994375,0.999,0.95,0.95,true,confidence,123,TP
244,1932236,100,false,0.994375,0.999,0.95,0.95,true,confidence,118,TP
245,1940155,100,false,0.994375,0.999,0.95,0.95,true,confidence,103,TP
246,1948074,100,false,0.994375,0.999,0.95,0.95,true,confidence,104,TP
247,1955993,100,false,0.994375,0.999,0.95,0.95,true,confidence,121,TP
248,1963912,37,true,0.572813,0.999,0.95,0.95,true,bugFound,77,FN
249,1971831,100,false,0.994375,0.999,0.95,0.95,true,confidence,243,TP
250,1979750,44,true,0.665043,0.999,0.95,0.99,true,bugFound,74,FN
251,1987669,83,true,0.927077,0.999,0.95,0.99,true,bugFound,85,FN
252,1995588,100,false,0.994375,0.999,0.95,0.99,true,confidence,96,TP
253,2003507,100,false,0.994375,0.999,0.95,0.99,true,confidence,95,TP
254,2011426,100,false,0.994375,0.999,0.95,0.99,true,confidence,96,TP
255,2019345,100,false,0.994375,0.999,0.95,0.99,true,confidence,128,TP
256,2027264,100,false,0.994375,0.999,0.95,0.99,true,confidence,109,TP
257,2035183,100,false,0.994375,0.999,0.95,0.99,true,confidence,96,TP
258,2043102,100,false,0.994375,0.999,0.95,0.99,true,confidence,103,TP
259,2051021,100,false,0.994375,0.999,0.95,0.99,true,confidence,97,TP
260,2058940,100,false,0.994375,0.999,0.95,0.99,true,confidence,105,TP
261,2066859,100,false,0.994375,0.999,0.95,0.99,true,confidence,108,TP
262,2074778,100,false,0.994375,0.999,0.95,0.99,true,confidence,178,TP
263,2082697,100,false,0.994375,0.999,0.95,0.99,true,confidence,117,TP
264,2090616,100,false,0.994375,0.999,0.95,0.99,true,confidence,100,TP
265,2098535,100,false,0.994375,0.999,0.95,0.99,true,confidence,95,TP
266,2106454,100,false,0.994375,0.999,0.95,0.99,true,confidence,94,TP
267,2114373,100,false,0.994375,0.999,0.95,0.99,true,confidence,95,TP
268,2122292,100,false,0.994375,0.999,0.95,0.99,true,confidence,101,TP
269,2130211,100,false,0.994375,0.999,0.95,0.99,true,confidence,104,TP
270,2138130,100,false,0.994375,0.999,0.95,0.99,true,confidence,95,TP
271,2146049,100,false,0.994375,0.999,0.95,0.99,true,confidence,94,TP
272,2153968,100,false,0.994375,0.999,0.95,0.99,true,confidence,96,TP
273,2161887,100,false,0.994375,0.999,0.95,0.99,true,confidence,94,TP
274,2169806,100,false,0.994375,0.999,0.95,0.99,true,confidence,210,TP
275,2177725,15,true,0.189240,0.999,0.95,0.99,true,bugFound,40,FN
276,2185644,100,false,0.994375,0.999,0.95,0.99,true,confidence,92,TP
277,2193563,100,false,0.994375,0.999,0.95,0.99,true,confidence,92,TP
278,2201482,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
279,2209401,100,false,0.994375,0.999,0.95,0.99,true,confidence,94,TP
280,2217320,100,false,0.994375,0.999,0.95,0.99,true,confidence,94,TP
281,2225239,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
282,2233158,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
283,2241077,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
284,2248996,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
285,2256915,100,false,0.994375,0.999,0.95,0.99,true,confidence,95,TP
286,2264834,100,false,0.994375,0.999,0.95,0.99,true,confidence,94,TP
287,2272753,100,false,0.994375,0.999,0.95,0.99,true,confidence,92,TP
288,2280672,100,false,0.994375,0.999,0.95,0.99,true,confidence,173,TP
289,2288591,100,false,0.994375,0.999,0.95,0.99,true,confidence,92,TP
290,2296510,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
291,2304429,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
292,2312348,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
293,2320267,100,false,0.994375,0.999,0.95,0.99,true,confidence,94,TP
294,2328186,100,false,0.994375,0.999,0.95,0.99,true,confidence,92,TP
295,2336105,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
296,2344024,100,false,0.994375,0.999,0.95,0.99,true,confidence,91,TP
297,2351943,100,false,0.994375,0.999,0.95,0.99,true,confidence,92,TP
298,2359862,28,true,0.429215,0.999,0.95,0.99,true,bugFound,45,FN
299,2367781,15,true,0.189240,0.999,0.95,0.99,true,bugFound,38,FN
300,2375700,62,true,0.829530,0.99,0.95,0.9,true,bugFound,66,FN
301,2383619,100,false,0.994375,0.99,0.95,0.9,true,confidence,91,TP
302,2391538,21,true,0.301849,0.99,0.95,0.9,true,bugFound,39,FN
303,2399457,100,false,0.994375,0.99,0.95,0.9,true,confidence,152,TP
304,2407376,41,true,0.627636,0.99,0.95,0.9,true,bugFound,53,FN
305,2415295,11,true,0.118360,0.99,0.95,0.9,true,bugFound,32,FN
306,2423214,38,true,0.587052,0.99,0.95,0.9,true,bugFound,52,FN
307,2431133,100,false,0.994375,0.99,0.95,0.9,true,confidence,92,TP
308,2439052,28,true,0.429215,0.99,0.95,0.9,true,bugFound,43,FN
309,2446971,30,true,0.463403,0.99,0.95,0.9,true,bugFound,44,FN
310,2454890,100,false,0.994375,0.99,0.95,0.9,true,confidence,92,TP
311,2462809,100,false,0.994375,0.99,0.95,0.9,true,confidence,92,TP
312,2470728,21,true,0.301849,0.99,0.95,0.9,true,bugFound,46,FN
313,2478647,100,false,0.994375,0.99,0.95,0.9,true,confidence,102,TP
314,2486566,28,true,0.429215,0.99,0.95,0.9,true,bugFound,43,FN
315,2494485,100,false,0.994375,0.99,0.95,0.9,true,confidence,92,TP
316,2502404,100,false,0.994375,0.99,0.95,0.9,true,confidence,93,TP
317,2510323,100,false,0.994375,0.99,0.95,0.9,true,confidence,91,TP
318,2518242,100,false,0.994375,0.99,0.95,0.9,true,confidence,92,TP
319,2526161,100,false,0.994375,0.99,0.95,0.9,true,confidence,172,TP
320,2534080,21,true,0.301849,0.99,0.95,0.9,true,bugFound,39,FN
321,2541999,3,true,0.014019,0.99,0.95,0.9,true,bugFound,27,FN
322,2549918,12,true,0.135424,0.99,0.95,0.9,true,bugFound,39,FN
323,2557837,12,true,0.135424,0.99,0.95,0.9,true,bugFound,32,FN
324,2565756,10,true,0.101895,0.99,0.95,0.9,true,bugFound,31,FN
325,2573675,4,true,0.022593,0.99,0.95,0.9,true,bugFound,27,FN
326,2581594,7,true,0.057245,0.99,0.95,0.9,true,bugFound,29,FN
327,2589513,54,true,0.768113,0.99,0.95,0.9,true,bugFound,60,FN
328,2597432,100,false,0.994375,0.99,0.95,0.9,true,confidence,93,TP
329,2605351,100,false,0.994375,0.99,0.95,0.9,true,confidence,91,TP
330,2613270,20,true,0.283028,0.99,0.95,0.9,true,bugFound,38,FN
331,2621189,68,true,0.865520,0.99,0.95,0.9,true,bugFound,70,FN
332,2629108,54,true,0.768113,0.99,0.95,0.9,true,bugFound,61,FN
333,2637027,30,true,0.463403,0.99,0.95,0.9,true,bugFound,44,FN
334,2644946,31,true,0.480038,0.99,0.95,0.9,true,bugFound,45,FN
335,2652865,100,false,0.994375,0.99,0.95,0.9,true,confidence,96,TP
336,2660784,76,true,0.902673,0.99,0.95,0.9,true,bugFound,75,FN
337,2668703,100,false,0.994375,0.99,0.95,0.9,true,confidence,107,TP
338,2676622,28,true,0.429215,0.99,0.95,0.9,true,bugFound,124,FN
339,2684541,23,true,0.339183,0.99,0.95,0.9,true,bugFound,40,FN
340,2692460,79,true,0.913946,0.99,0.95,0.9,true,bugFound,78,FN
341,2700379,98,true,0.961295,0.99,0.95,0.9,true,bugFound,90,FN
342,2708298,31,true,0.480038,0.99,0.95,0.9,true,bugFound,45,FN
343,2716217,22,true,0.320580,0.99,0.95,0.9,true,bugFound,39,FN
344,2724136,59,true,0.808447,0.99,0.95,0.9,true,bugFound,64,FN
345,2732055,4,true,0.022593,0.99,0.95,0.9,true,bugFound,27,FN
346,2739974,100,false,0.994375,0.99,0.95,0.9,true,confidence,92,TP
347,2747893,100,false,0.994375,0.99,0.95,0.9,true,confidence,107,TP
348,2755812,100,false,0.994375,0.99,0.95,0.9,true,confidence,92,TP
349,2763731,22,true,0.320580,0.99,0.95,0.9,true,bugFound,39,FN
350,2771650,97,true,0.959603,0.99,0.95,0.95,true,bugFound,90,FN
351,2779569,15,true,0.189240,0.99,0.95,0.95,true,bugFound,34,FN
352,2787488,100,false,0.994375,0.99,0.95,0.95,true,confidence,96,TP
353,2795407,54,true,0.768113,0.99,0.95,0.95,true,bugFound,68,FN
354,2803326,100,false,0.994375,0.99,0.95,0.95,true,confidence,95,TP
355,2811245,1,true,0.002500,0.99,0.95,0.95,true,bugFound,103,FN
356,2819164,100,false,0.994375,0.99,0.95,0.95,true,confidence,92,TP
357,2827083,100,false,0.994375,0.99,0.95,0.95,true,confidence,91,TP
358,2835002,57,true,0.793126,0.99,0.95,0.95,true,bugFound,63,FN
359,2842921,28,true,0.429215,0.99,0.95,0.95,true,bugFound,43,FN
360,2850840,100,false,0.994375,0.99,0.95,0.95,true,confidence,94,TP
361,2858759,100,false,0.994375,0.99,0.95,0.95,true,confidence,91,TP
362,2866678,33,true,0.512331,0.99,0.95,0.95,true,bugFound,47,FN
363,2874597,16,true,0.207772,0.99,0.95,0.95,true,bugFound,35,FN
364,2882516,2,true,0.007250,0.99,0.95,0.95,true,bugFound,25,FN
365,2890435,100,false,0.994375,0.99,0.95,0.95,true,confidence,92,TP
366,2898354,100,false,0.994375,0.99,0.95,0.95,true,confidence,140,TP
367,2906273,5,true,0.032774,0.99,0.95,0.95,true,bugFound,52,FN
368,2914192,100,false,0.994375,0.99,0.95,0.95,true,confidence,104,TP
369,2922111,9,true,0.086138,0.99,0.95,0.95,true,bugFound,77,FN
