trial_id,seed,depth,explorer,total_tests,quantifier_index,unique_values,expected_unique,detection_rate
167,1322473,2,flat,1000,1,999,1000,0.000998999001000999
168,1330392,2,flat,1000,0,999,1000,0.000998999001000999
168,1330392,2,flat,1000,1,1000,1000,0.000999999000001
169,1338311,2,flat,1000,0,1000,1000,0.000999999000001
169,1338311,2,flat,1000,1,999,1000,0.000998999001000999
170,1346230,2,flat,1000,0,1000,1000,0.000999999000001
170,1346230,2,flat,1000,1,1000,1000,0.000999999000001
171,1354149,2,flat,1000,0,1000,1000,0.000999999000001
171,1354149,2,flat,1000,1,999,1000,0.000998999001000999
172,1362068,2,flat,1000,0,999,1000,0.000998999001000999
172,1362068,2,flat,1000,1,999,1000,0.000998999001000999
173,1369987,2,flat,1000,0,999,1000,0.000998999001000999
173,1369987,2,flat,1000,1,1000,1000,0.000999999000001
174,1377906,2,flat,1000,0,999,1000,0.000998999001000999
174,1377906,2,flat,1000,1,999,1000,0.000998999001000999
175,1385825,2,flat,1000,0,999,1000,0.000998999001000999
175,1385825,2,flat,1000,1,999,1000,0.000998999001000999
176,1393744,2,flat,1000,0,1000,1000,0.000999999000001
176,1393744,2,flat,1000,1,999,1000,0.000998999001000999
177,1401663,2,flat,1000,0,1000,1000,0.000999999000001
177,1401663,2,flat,1000,1,1000,1000,0.000999999000001
178,1409582,2,flat,1000,0,1000,1000,0.000999999000001
178,1409582,2,flat,1000,1,1000,1000,0.000999999000001
179,1417501,2,flat,1000,0,1000,1000,0.000999999000001
179,1417501,2,flat,1000,1,999,1000,0.000998999001000999
180,1425420,2,flat,1000,0,1000,1000,0.000999999000001
180,1425420,2,flat,1000,1,999,1000,0.000998999001000999
181,1433339,2,flat,1000,0,1000,1000,0.000999999000001
181,1433339,2,flat,1000,1,1000,1000,0.000999999000001
182,1441258,2,flat,1000,0,999,1000,0.000998999001000999
182,1441258,2,flat,1000,1,1000,1000,0.000999999000001
183,1449177,2,flat,1000,0,1000,1000,0.000999999000001
183,1449177,2,flat,1000,1,999,1000,0.000998999001000999
184,1457096,2,flat,1000,0,1000,1000,0.000999999000001
184,1457096,2,flat,1000,1,999,1000,0.000998999001000999
185,1465015,2,flat,1000,0,999,1000,0.000998999001000999
185,1465015,2,flat,1000,1,1000,1000,0.000999999000001
186,1472934,2,flat,1000,0,1000,1000,0.000999999000001
186,1472934,2,flat,1000,1,998,1000,0.000997999002000998
187,1480853,2,flat,1000,0,1000,1000,0.000999999000001
187,1480853,2,flat,1000,1,1000,1000,0.000999999000001
188,1488772,2,flat,1000,0,1000,1000,0.000999999000001
188,1488772,2,flat,1000,1,1000,1000,0.000999999000001
189,1496691,2,flat,1000,0,998,1000,0.000997999002000998
189,1496691,2,flat,1000,1,1000,1000,0.000999999000001
190,1504610,2,flat,1000,0,1000,1000,0.000999999000001
190,1504610,2,flat,1000,1,1000,1000,0.000999999000001
191,1512529,2,flat,1000,0,999,1000,0.000998999001000999
191,1512529,2,flat,1000,1,999,1000,0.000998999001000999
192,1520448,2,flat,1000,0,1000,1000,0.000999999000001
192,1520448,2,flat,1000,1,1000,1000,0.000999999000001
193,1528367,2,flat,1000,0,1000,1000,0.000999999000001
193,1528367,2,flat,1000,1,999,1000,0.000998999001000999
194,1536286,2,flat,1000,0,1000,1000,0.000999999000001
194,1536286,2,flat,1000,1,998,1000,0.000997999002000998
195,1544205,2,flat,1000,0,999,1000,0.000998999001000999
195,1544205,2,flat,1000,1,998,1000,0.000997999002000998
196,1552124,2,flat,1000,0,999,1000,0.000998999001000999
196,1552124,2,flat,1000,1,998,1000,0.000997999002000998
197,1560043,2,flat,1000,0,999,1000,0.000998999001000999
197,1560043,2,flat,1000,1,1000,1000,0.000999999000001
198,1567962,2,flat,1000,0,1000,1000,0.000999999000001
198,1567962,2,flat,1000,1,1000,1000,0.000999999000001
199,1575881,2,flat,1000,0,997,1000,0.000996999003000997
199,1575881,2,flat,1000,1,1000,1000,0.000999999000001
200,1583800,3,nested,1000,0,9,9,0.000008999991000009
200,1583800,3,nested,1000,1,9,9,0.000008999991000009
200,1583800,3,nested,1000,2,9,9,0.000008999991000009
201,1591719,3,nested,1000,0,9,9,0.000008999991000009
201,1591719,3,nested,1000,1,9,9,0.000008999991000009
201,1591719,3,nested,1000,2,9,9,0.000008999991000009
202,1599638,3,nested,1000,0,9,9,0.000008999991000009
202,1599638,3,nested,1000,1,9,9,0.000008999991000009
202,1599638,3,nested,1000,2,9,9,0.000008999991000009
203,1607557,3,nested,1000,0,9,9,0.000008999991000009
203,1607557,3,nested,1000,1,9,9,0.000008999991000009
203,1607557,3,nested,1000,2,9,9,0.000008999991000009
204,1615476,3,nested,1000,0,9,9,0.000008999991000009
204,1615476,3,nested,1000,1,9,9,0.000008999991000009
204,1615476,3,nested,1000,2,9,9,0.000008999991000009
205,1623395,3,nested,1000,0,9,9,0.000008999991000009
205,1623395,3,nested,1000,1,9,9,0.000008999991000009
205,1623395,3,nested,1000,2,9,9,0.000008999991000009
206,1631314,3,nested,1000,0,9,9,0.000008999991000009
206,1631314,3,nested,1000,1,9,9,0.000008999991000009
206,1631314,3,nested,1000,2,9,9,0.000008999991000009
207,1639233,3,nested,1000,0,9,9,0.000008999991000009
207,1639233,3,nested,1000,1,9,9,0.000008999991000009
207,1639233,3,nested,1000,2,9,9,0.000008999991000009
208,1647152,3,nested,1000,0,9,9,0.000008999991000009
208,1647152,3,nested,1000,1,9,9,0.000008999991000009
208,1647152,3,nested,1000,2,9,9,0.000008999991000009
209,1655071,3,nested,1000,0,9,9,0.000008999991000009
209,1655071,3,nested,1000,1,9,9,0.000008999991000009
209,1655071,3,nested,1000,2,9,9,0.000008999991000009
210,1662990,3,nested,1000,0,9,9,0.000008999991000009
210,1662990,3,nested,1000,1,9,9,0.000008999991000009
210,1662990,3,nested,1000,2,9,9,0.000008999991000009
211,1670909,3,nested,1000,0,9,9,0.000008999991000009
211,1670909,3,nested,1000,1,9,9,0.000008999991000009
211,1670909,3,nested,1000,2,9,9,0.000008999991000009
212,1678828,3,nested,1000,0,9,9,0.000008999991000009
212,1678828,3,nested,1000,1,9,9,0.000008999991000009
212,1678828,3,nested,1000,2,9,9,0.000008999991000009
213,1686747,3,nested,1000,0,9,9,0.000008999991000009
213,1686747,3,nested,1000,1,9,9,0.000008999991000009
213,1686747,3,nested,1000,2,9,9,0.000008999991000009
214,1694666,3,nested,1000,0,9,9,0.000008999991000009
214,1694666,3,nested,1000,1,9,9,0.000008999991000009
214,1694666,3,nested,1000,2,9,9,0.000008999991000009
215,1702585,3,nested,1000,0,9,9,0.000008999991000009
215,1702585,3,nested,1000,1,9,9,0.000008999991000009
215,1702585,3,nested,1000,2,9,9,0.000008999991000009
216,1710504,3,nested,1000,0,9,9,0.000008999991000009
216,1710504,3,nested,1000,1,9,9,0.000008999991000009
216,1710504,3,nested,1000,2,9,9,0.000008999991000009
217,1718423,3,nested,1000,0,9,9,0.000008999991000009
217,1718423,3,nested,1000,1,9,9,0.000008999991000009
217,1718423,3,nested,1000,2,9,9,0.000008999991000009
218,1726342,3,nested,1000,0,9,9,0.000008999991000009
218,1726342,3,nested,1000,1,9,9,0.000008999991000009
218,1726342,3,nested,1000,2,9,9,0.000008999991000009
219,1734261,3,nested,1000,0,9,9,0.000008999991000009
219,1734261,3,nested,1000,1,9,9,0.000008999991000009
219,1734261,3,nested,1000,2,9,9,0.000008999991000009
220,1742180,3,nested,1000,0,9,9,0.000008999991000009
220,1742180,3,nested,1000,1,9,9,0.000008999991000009
220,1742180,3,nested,1000,2,9,9,0.000008999991000009
221,1750099,3,nested,1000,0,9,9,0.000008999991000009
221,1750099,3,nested,1000,1,9,9,0.000008999991000009
221,1750099,3,nested,1000,2,9,9,0.000008999991000009
222,1758018,3,nested,1000,0,9,9,0.000008999991000009
222,1758018,3,nested,1000,1,9,9,0.000008999991000009
222,1758018,3,nested,1000,2,9,9,0.000008999991000009
223,1765937,3,nested,1000,0,9,9,0.000008999991000009
223,1765937,3,nested,1000,1,9,9,0.000008999991000009
223,1765937,3,nested,1000,2,9,9,0.000008999991000009
224,1773856,3,nested,1000,0,9,9,0.000008999991000009
224,1773856,3,nested,1000,1,9,9,0.000008999991000009
224,1773856,3,nested,1000,2,9,9,0.000008999991000009
225,1781775,3,nested,1000,0,9,9,0.000008999991000009
225,1781775,3,nested,1000,1,9,9,0.000008999991000009
225,1781775,3,nested,1000,2,9,9,0.000008999991000009
226,1789694,3,nested,1000,0,9,9,0.000008999991000009
226,1789694,3,nested,1000,1,9,9,0.000008999991000009
226,1789694,3,nested,1000,2,9,9,0.000008999991000009
227,1797613,3,nested,1000,0,9,9,0.000008999991000009
227,1797613,3,nested,1000,1,9,9,0.000008999991000009
227,1797613,3,nested,1000,2,9,9,0.000008999991000009
228,1805532,3,nested,1000,0,9,9,0.000008999991000009
228,1805532,3,nested,1000,1,9,9,0.000008999991000009
228,1805532,3,nested,1000,2,9,9,0.000008999991000009
229,1813451,3,nested,1000,0,9,9,0.000008999991000009
229,1813451,3,nested,1000,1,9,9,0.000008999991000009
229,1813451,3,nested,1000,2,9,9,0.000008999991000009
230,1821370,3,nested,1000,0,9,9,0.000008999991000009
230,1821370,3,nested,1000,1,9,9,0.000008999991000009
230,1821370,3,nested,1000,2,9,9,0.000008999991000009
231,1829289,3,nested,1000,0,9,9,0.000008999991000009
231,1829289,3,nested,1000,1,9,9,0.000008999991000009
231,1829289,3,nested,1000,2,9,9,0.000008999991000009
232,1837208,3,nested,1000,0,9,9,0.000008999991000009
232,1837208,3,nested,1000,1,9,9,0.000008999991000009
232,1837208,3,nested,1000,2,9,9,0.000008999991000009
233,1845127,3,nested,1000,0,9,9,0.000008999991000009
233,1845127,3,nested,1000,1,9,9,0.000008999991000009
233,1845127,3,nested,1000,2,9,9,0.000008999991000009
234,1853046,3,nested,1000,0,9,9,0.000008999991000009
234,1853046,3,nested,1000,1,9,9,0.000008999991000009
234,1853046,3,nested,1000,2,9,9,0.000008999991000009
235,1860965,3,nested,1000,0,9,9,0.000008999991000009
235,1860965,3,nested,1000,1,9,9,0.000008999991000009
235,1860965,3,nested,1000,2,9,9,0.000008999991000009
236,1868884,3,nested,1000,0,9,9,0.000008999991000009
236,1868884,3,nested,1000,1,9,9,0.000008999991000009
236,1868884,3,nested,1000,2,9,9,0.000008999991000009
237,1876803,3,nested,1000,0,9,9,0.000008999991000009
237,1876803,3,nested,1000,1,9,9,0.000008999991000009
237,1876803,3,nested,1000,2,9,9,0.000008999991000009
238,1884722,3,nested,1000,0,9,9,0.000008999991000009
238,1884722,3,nested,1000,1,9,9,0.000008999991000009
238,1884722,3,nested,1000,2,9,9,0.000008999991000009
239,1892641,3,nested,1000,0,9,9,0.000008999991000009
239,1892641,3,nested,1000,1,9,9,0.000008999991000009
239,1892641,3,nested,1000,2,9,9,0.000008999991000009
240,1900560,3,nested,1000,0,9,9,0.000008999991000009
240,1900560,3,nested,1000,1,9,9,0.000008999991000009
240,1900560,3,nested,1000,2,9,9,0.000008999991000009
241,1908479,3,nested,1000,0,9,9,0.000008999991000009
241,1908479,3,nested,1000,1,9,9,0.000008999991000009
241,1908479,3,nested,1000,2,9,9,0.000008999991000009
242,1916398,3,nested,1000,0,9,9,0.000008999991000009
242,1916398,3,nested,1000,1,9,9,0.000008999991000009
242,1916398,3,nested,1000,2,9,9,0.000008999991000009
243,1924317,3,nested,1000,0,9,9,0.000008999991000009
243,1924317,3,nested,1000,1,9,9,0.000008999991000009
