trial_id,seed,pass_rate,sample_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error
20,158380,0.01,500,10,11,10.00,13.00,3.00,true,0.100000
21,166299,0.01,1,10,16,10.00,26.00,16.00,true,0.600000
21,166299,0.01,5,10,10,6.00,16.00,10.00,true,0.000000
21,166299,0.01,10,10,10,7.00,15.00,8.00,true,0.000000
21,166299,0.01,25,10,11,8.00,14.00,6.00,true,0.100000
21,166299,0.01,50,10,11,9.00,15.00,6.00,true,0.100000
21,166299,0.01,100,10,12,10.00,15.00,5.00,true,0.200000
21,166299,0.01,200,10,12,10.00,14.00,4.00,true,0.200000
21,166299,0.01,500,10,11,9.00,12.00,3.00,true,0.100000
22,174218,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
22,174218,0.01,5,10,17,11.00,27.00,16.00,false,0.700000
22,174218,0.01,10,10,18,12.00,26.00,14.00,false,0.800000
22,174218,0.01,25,10,11,8.00,15.00,7.00,true,0.100000
22,174218,0.01,50,10,10,8.00,13.00,5.00,true,0.000000
22,174218,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
22,174218,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
22,174218,0.01,500,10,11,9.00,12.00,3.00,true,0.100000
23,182137,0.01,1,10,14,9.00,24.00,15.00,true,0.400000
23,182137,0.01,5,10,14,9.00,21.00,12.00,true,0.400000
23,182137,0.01,10,10,13,9.00,19.00,10.00,true,0.300000
23,182137,0.01,25,10,12,9.00,16.00,7.00,true,0.200000
23,182137,0.01,50,10,11,9.00,14.00,5.00,true,0.100000
23,182137,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
23,182137,0.01,200,10,10,8.00,11.00,3.00,true,0.000000
23,182137,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
24,190056,0.01,1,10,16,10.00,26.00,16.00,true,0.600000
24,190056,0.01,5,10,14,9.00,22.00,13.00,true,0.400000
24,190056,0.01,10,10,13,9.00,20.00,11.00,true,0.300000
24,190056,0.01,25,10,14,10.00,19.00,9.00,true,0.400000
24,190056,0.01,50,10,13,10.00,17.00,7.00,true,0.300000
24,190056,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
24,190056,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
24,190056,0.01,500,10,11,9.00,12.00,3.00,true,0.100000
25,197975,0.01,1,10,16,9.00,25.00,16.00,true,0.600000
25,197975,0.01,5,10,14,9.00,22.00,13.00,true,0.400000
25,197975,0.01,10,10,13,9.00,19.00,10.00,true,0.300000
25,197975,0.01,25,10,13,10.00,18.00,8.00,true,0.300000
25,197975,0.01,50,10,13,10.00,17.00,7.00,true,0.300000
25,197975,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
25,197975,0.01,200,10,10,8.00,11.00,3.00,true,0.000000
25,197975,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
26,205894,0.01,1,10,16,10.00,26.00,16.00,true,0.600000
26,205894,0.01,5,10,15,10.00,24.00,14.00,true,0.500000
26,205894,0.01,10,10,12,8.00,18.00,10.00,true,0.200000
26,205894,0.01,25,10,13,10.00,18.00,8.00,true,0.300000
26,205894,0.01,50,10,14,11.00,17.00,6.00,false,0.400000
26,205894,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
26,205894,0.01,200,10,11,9.00,12.00,3.00,true,0.100000
26,205894,0.01,500,10,11,10.00,12.00,2.00,true,0.100000
27,213813,0.01,1,10,15,9.00,24.00,15.00,true,0.500000
27,213813,0.01,5,10,9,6.00,14.00,8.00,true,0.100000
27,213813,0.01,10,10,9,6.00,13.00,7.00,true,0.100000
27,213813,0.01,25,10,10,7.00,13.00,6.00,true,0.000000
27,213813,0.01,50,10,11,8.00,14.00,6.00,true,0.100000
27,213813,0.01,100,10,11,9.00,14.00,5.00,true,0.100000
27,213813,0.01,200,10,11,9.00,13.00,4.00,true,0.100000
27,213813,0.01,500,10,11,10.00,12.00,2.00,true,0.100000
28,221732,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
28,221732,0.01,5,10,18,12.00,28.00,16.00,false,0.800000
28,221732,0.01,10,10,16,11.00,23.00,12.00,false,0.600000
28,221732,0.01,25,10,11,8.00,15.00,7.00,true,0.100000
28,221732,0.01,50,10,11,8.00,14.00,6.00,true,0.100000
28,221732,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
28,221732,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
28,221732,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
29,229651,0.01,1,10,15,9.00,25.00,16.00,true,0.500000
29,229651,0.01,5,10,16,10.00,24.00,14.00,true,0.600000
29,229651,0.01,10,10,13,9.00,20.00,11.00,true,0.300000
29,229651,0.01,25,10,13,9.00,17.00,8.00,true,0.300000
29,229651,0.01,50,10,12,9.00,15.00,6.00,true,0.200000
29,229651,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
29,229651,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
29,229651,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
30,237570,0.01,1,10,14,9.00,24.00,15.00,true,0.400000
30,237570,0.01,5,10,15,10.00,23.00,13.00,true,0.500000
30,237570,0.01,10,10,12,8.00,18.00,10.00,true,0.200000
30,237570,0.01,25,10,12,9.00,17.00,8.00,true,0.200000
30,237570,0.01,50,10,11,9.00,15.00,6.00,true,0.100000
30,237570,0.01,100,10,12,10.00,14.00,4.00,true,0.200000
30,237570,0.01,200,10,12,10.00,14.00,4.00,true,0.200000
30,237570,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
31,245489,0.01,1,10,16,10.00,26.00,16.00,true,0.600000
31,245489,0.01,5,10,17,11.00,26.00,15.00,false,0.700000
31,245489,0.01,10,10,15,10.00,22.00,12.00,true,0.500000
31,245489,0.01,25,10,13,9.00,17.00,8.00,true,0.300000
31,245489,0.01,50,10,12,9.00,15.00,6.00,true,0.200000
31,245489,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
31,245489,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
31,245489,0.01,500,10,11,10.00,12.00,2.00,true,0.100000
32,253408,0.01,1,10,17,10.00,27.00,17.00,true,0.700000
32,253408,0.01,5,10,17,11.00,26.00,15.00,false,0.700000
32,253408,0.01,10,10,16,11.00,24.00,13.00,false,0.600000
32,253408,0.01,25,10,13,9.00,18.00,9.00,true,0.300000
32,253408,0.01,50,10,12,10.00,16.00,6.00,true,0.200000
32,253408,0.01,100,10,10,8.00,13.00,5.00,true,0.000000
32,253408,0.01,200,10,10,8.00,12.00,4.00,true,0.000000
32,253408,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
33,261327,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
33,261327,0.01,5,10,15,10.00,23.00,13.00,true,0.500000
33,261327,0.01,10,10,13,9.00,19.00,10.00,true,0.300000
33,261327,0.01,25,10,13,10.00,18.00,8.00,true,0.300000
33,261327,0.01,50,10,12,9.00,15.00,6.00,true,0.200000
33,261327,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
33,261327,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
33,261327,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
34,269246,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
34,269246,0.01,5,10,13,9.00,21.00,12.00,true,0.300000
34,269246,0.01,10,10,12,8.00,18.00,10.00,true,0.200000
34,269246,0.01,25,10,12,8.00,16.00,8.00,true,0.200000
34,269246,0.01,50,10,11,8.00,14.00,6.00,true,0.100000
