trial_id,seed,scenario,approach,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value,shrink_candidates_tested,shrink_improvements_made
210,79190,rare,first_class,0.01,200,true,28,36,857600,0,0
211,87109,rare,first_class,0.01,200,true,4,19,121500,0,0
212,95028,rare,first_class,0.01,200,true,79,72,499400,0,0
213,102947,rare,first_class,0.01,200,true,142,117,991900,0,0
214,110866,rare,first_class,0.01,200,true,46,49,162200,0,0
215,118785,rare,first_class,0.01,200,true,67,63,170800,0,0
216,126704,rare,first_class,0.01,200,true,43,47,536400,0,0
217,134623,rare,first_class,0.01,200,true,1,23,27700,0,0
218,142542,rare,first_class,0.01,200,true,102,96,405800,0,0
219,150461,rare,first_class,0.01,200,false,200,158,,0,0
220,158380,rare,first_class,0.01,200,false,200,157,,0,0
221,166299,rare,first_class,0.01,200,true,19,30,943600,0,0
222,174218,rare,first_class,0.01,200,true,10,23,920100,0,0
223,182137,rare,first_class,0.01,200,true,20,30,112900,0,0
224,190056,rare,first_class,0.01,200,false,200,159,,0,0
225,0,rare,double_negation,0.01,200,true,35,44,328700,0,0
226,7919,rare,double_negation,0.01,200,true,1,18,690100,0,0
227,15838,rare,double_negation,0.01,200,true,15,29,113100,0,0
228,23757,rare,double_negation,0.01,200,true,34,52,74700,0,0
229,31676,rare,double_negation,0.01,200,true,22,40,784800,0,0
230,39595,rare,double_negation,0.01,200,true,88,80,12100,0,0
231,47514,rare,double_negation,0.01,200,false,200,249,,0,0
232,55433,rare,double_negation,0.01,200,true,24,44,189300,0,0
233,63352,rare,double_negation,0.01,200,false,200,160,,0,0
234,71271,rare,double_negation,0.01,200,true,48,51,21300,0,0
235,79190,rare,double_negation,0.01,200,true,28,37,857600,0,0
236,87109,rare,double_negation,0.01,200,true,4,20,121500,0,0
237,95028,rare,double_negation,0.01,200,true,79,134,499400,0,0
238,102947,rare,double_negation,0.01,200,true,142,140,991900,0,0
239,110866,rare,double_negation,0.01,200,true,46,61,162200,0,0
240,118785,rare,double_negation,0.01,200,true,67,71,170800,0,0
241,126704,rare,double_negation,0.01,200,true,43,66,536400,0,0
242,134623,rare,double_negation,0.01,200,true,1,19,27700,0,0
243,142542,rare,double_negation,0.01,200,true,102,112,405800,0,0
244,150461,rare,double_negation,0.01,200,false,200,165,,0,0
245,158380,rare,double_negation,0.01,200,false,200,182,,0,0
246,166299,rare,double_negation,0.01,200,true,19,32,943600,0,0
247,174218,rare,double_negation,0.01,200,true,10,40,920100,0,0
248,182137,rare,double_negation,0.01,200,true,20,32,112900,0,0
249,190056,rare,double_negation,0.01,200,false,200,166,,0,0
250,0,rare,first_class,0.01,500,true,35,55,328700,0,0
251,7919,rare,first_class,0.01,500,true,1,26,690100,0,0
252,15838,rare,first_class,0.01,500,true,15,35,113100,0,0
253,23757,rare,first_class,0.01,500,true,34,48,74700,0,0
254,31676,rare,first_class,0.01,500,true,22,172,784800,0,0
255,39595,rare,first_class,0.01,500,true,88,120,12100,0,0
256,47514,rare,first_class,0.01,500,true,215,197,217800,0,0
257,55433,rare,first_class,0.01,500,true,24,42,189300,0,0
258,63352,rare,first_class,0.01,500,true,202,207,811200,0,0
259,71271,rare,first_class,0.01,500,true,48,59,21300,0,0
260,79190,rare,first_class,0.01,500,true,28,51,857600,0,0
261,87109,rare,first_class,0.01,500,true,4,22,121500,0,0
262,95028,rare,first_class,0.01,500,true,79,79,499400,0,0
263,102947,rare,first_class,0.01,500,true,142,125,991900,0,0
264,110866,rare,first_class,0.01,500,true,46,64,162200,0,0
265,118785,rare,first_class,0.01,500,true,67,73,170800,0,0
266,126704,rare,first_class,0.01,500,true,43,51,536400,0,0
267,134623,rare,first_class,0.01,500,true,1,21,27700,0,0
268,142542,rare,first_class,0.01,500,true,102,104,405800,0,0
269,150461,rare,first_class,0.01,500,true,339,289,742900,0,0
270,158380,rare,first_class,0.01,500,true,251,290,441500,0,0
271,166299,rare,first_class,0.01,500,true,19,33,943600,0,0
272,174218,rare,first_class,0.01,500,true,10,26,920100,0,0
273,182137,rare,first_class,0.01,500,true,20,43,112900,0,0
274,190056,rare,first_class,0.01,500,true,255,242,542500,0,0
275,0,rare,double_negation,0.01,500,true,35,63,328700,0,0
276,7919,rare,double_negation,0.01,500,true,1,22,690100,0,0
277,15838,rare,double_negation,0.01,500,true,15,30,113100,0,0
278,23757,rare,double_negation,0.01,500,true,34,43,74700,0,0
279,31676,rare,double_negation,0.01,500,true,22,34,784800,0,0
280,39595,rare,double_negation,0.01,500,true,88,81,12100,0,0
281,47514,rare,double_negation,0.01,500,true,215,176,217800,0,0
282,55433,rare,double_negation,0.01,500,true,24,36,189300,0,0
283,63352,rare,double_negation,0.01,500,true,202,167,811200,0,0
284,71271,rare,double_negation,0.01,500,true,48,54,21300,0,0
285,79190,rare,double_negation,0.01,500,true,28,39,857600,0,0
286,87109,rare,double_negation,0.01,500,true,4,21,121500,0,0
287,95028,rare,double_negation,0.01,500,true,79,78,499400,0,0
288,102947,rare,double_negation,0.01,500,true,142,124,991900,0,0
289,110866,rare,double_negation,0.01,500,true,46,51,162200,0,0
290,118785,rare,double_negation,0.01,500,true,67,66,170800,0,0
291,126704,rare,double_negation,0.01,500,true,43,48,536400,0,0
292,134623,rare,double_negation,0.01,500,true,1,167,27700,0,0
293,142542,rare,double_negation,0.01,500,true,102,111,405800,0,0
294,150461,rare,double_negation,0.01,500,true,339,270,742900,0,0
295,158380,rare,double_negation,0.01,500,true,251,204,441500,0,0
296,166299,rare,double_negation,0.01,500,true,19,34,943600,0,0
297,174218,rare,double_negation,0.01,500,true,10,26,920100,0,0
298,182137,rare,double_negation,0.01,500,true,20,33,112900,0,0
299,190056,rare,double_negation,0.01,500,true,255,205,542500,0,0
300,0,moderate,first_class,0.1,100,true,1,42,266430,0,0
301,7919,moderate,first_class,0.1,100,true,1,16,690100,0,0
302,15838,moderate,first_class,0.1,100,true,15,26,113100,0,0
303,23757,moderate,first_class,0.1,100,true,1,14,950930,0,0
304,31676,moderate,first_class,0.1,100,true,1,14,89290,0,0
305,39595,moderate,first_class,0.1,100,true,5,17,335710,0,0
306,47514,moderate,first_class,0.1,100,true,18,27,901710,0,0
307,55433,moderate,first_class,0.1,100,true,2,14,335360,0,0
308,63352,moderate,first_class,0.1,100,true,7,18,209710,0,0
309,71271,moderate,first_class,0.1,100,true,7,17,938390,0,0
310,79190,moderate,first_class,0.1,100,true,12,21,822310,0,0
311,87109,moderate,first_class,0.1,100,true,4,16,121500,0,0
312,95028,moderate,first_class,0.1,100,true,5,17,902230,0,0
313,102947,moderate,first_class,0.1,100,true,5,16,732950,0,0
314,110866,moderate,first_class,0.1,100,true,21,29,567210,0,0
315,118785,moderate,first_class,0.1,100,true,4,17,677810,0,0
316,126704,moderate,first_class,0.1,100,true,19,27,12860,0,0
317,134623,moderate,first_class,0.1,100,true,1,13,27700,0,0
318,142542,moderate,first_class,0.1,100,true,3,15,935240,0,0
319,150461,moderate,first_class,0.1,100,true,11,22,670910,0,0
320,158380,moderate,first_class,0.1,100,true,1,13,965740,0,0
321,166299,moderate,first_class,0.1,100,true,1,13,301620,0,0
322,174218,moderate,first_class,0.1,100,true,7,18,203120,0,0
323,182137,moderate,first_class,0.1,100,true,17,27,224160,0,0
324,190056,moderate,first_class,0.1,100,true,13,22,837070,0,0
325,0,moderate,double_negation,0.1,100,true,1,16,266430,0,0
326,7919,moderate,double_negation,0.1,100,true,1,15,690100,0,0
327,15838,moderate,double_negation,0.1,100,true,15,25,113100,0,0
328,23757,moderate,double_negation,0.1,100,true,1,14,950930,0,0
329,31676,moderate,double_negation,0.1,100,true,1,14,89290,0,0
330,39595,moderate,double_negation,0.1,100,true,5,17,335710,0,0
331,47514,moderate,double_negation,0.1,100,true,18,27,901710,0,0
