trial_id,seed,scenario,pass_rate,base_size,true_size,samples_taken,terminated,termination_reason,estimated_size,ci_lower,ci_upper,inv95_at_termination,base_size_used,termination_condition_value,false_termination
149,1179931,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
150,1187850,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
151,1195769,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
152,1203688,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
153,1211607,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
154,1219526,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
155,1227445,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
156,1235364,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
157,1243283,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
158,1251202,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
159,1259121,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
160,1267040,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
161,1274959,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
162,1282878,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
163,1290797,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
164,1298716,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
165,1306635,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
166,1314554,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
167,1322473,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
168,1330392,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
169,1338311,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
170,1346230,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
171,1354149,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
172,1362068,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
173,1369987,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
174,1377906,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
175,1385825,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
176,1393744,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
177,1401663,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
178,1409582,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
179,1417501,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
180,1425420,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
181,1433339,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
182,1441258,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
183,1449177,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
184,1457096,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
185,1465015,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
186,1472934,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
187,1480853,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
188,1488772,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
189,1496691,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
190,1504610,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
191,1512529,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
192,1520448,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
193,1528367,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
194,1536286,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
195,1544205,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
196,1552124,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
197,1560043,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
198,1567962,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
199,1575881,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
200,1583800,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
201,1591719,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
202,1599638,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
203,1607557,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
204,1615476,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
205,1623395,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
206,1631314,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
207,1639233,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
208,1647152,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
209,1655071,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
210,1662990,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
211,1670909,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
212,1678828,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
213,1686747,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
214,1694666,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
215,1702585,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
216,1710504,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
217,1718423,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
218,1726342,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
219,1734261,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
220,1742180,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
