trial_id,seed,arbitrary_type,sampler_type,requested_count,actual_count,unique_count,termination_guard_triggered,elapsed_micros
328,1013632,exact,deduping,50,50,50,false,7
329,1021551,exact,deduping,50,50,50,false,6
330,1029470,exact,deduping,50,50,50,false,7
331,1037389,exact,deduping,50,50,50,false,7
332,1045308,exact,deduping,50,50,50,false,8
333,1053227,exact,deduping,50,50,50,false,7
334,1061146,exact,deduping,50,50,50,false,7
335,1069065,exact,deduping,50,50,50,false,7
336,1076984,exact,deduping,50,50,50,false,7
337,1084903,exact,deduping,50,50,50,false,6
338,1092822,exact,deduping,50,50,50,false,8
339,1100741,exact,deduping,50,50,50,false,8
340,1108660,exact,deduping,50,50,50,false,8
341,1116579,exact,deduping,50,50,50,false,8
342,1124498,exact,deduping,50,50,50,false,6
343,1132417,exact,deduping,50,50,50,false,8
344,1140336,exact,deduping,50,50,50,false,8
345,1148255,exact,deduping,50,50,50,false,15
346,1156174,exact,deduping,50,50,50,false,6
347,1164093,exact,deduping,50,50,50,false,8
348,1172012,exact,deduping,50,50,50,false,8
349,1179931,exact,deduping,50,50,50,false,8
350,1187850,exact,deduping,50,50,50,false,9
351,1195769,exact,deduping,50,50,50,false,7
352,1203688,exact,deduping,50,50,50,false,7
353,1211607,exact,deduping,50,50,50,false,8
354,1219526,exact,deduping,50,50,50,false,8
355,1227445,exact,deduping,50,50,50,false,6
356,1235364,exact,deduping,50,50,50,false,9
357,1243283,exact,deduping,50,50,50,false,8
358,1251202,exact,deduping,50,50,50,false,7
359,1259121,exact,deduping,50,50,50,false,9
360,1267040,exact,deduping,50,50,50,false,7
361,1274959,exact,deduping,50,50,50,false,7
362,1282878,exact,deduping,50,50,50,false,7
363,1290797,exact,deduping,50,50,50,false,8
364,1298716,exact,deduping,50,50,50,false,9
365,1306635,exact,deduping,50,50,50,false,24
366,1314554,exact,deduping,50,50,50,false,6
367,1322473,exact,deduping,50,50,50,false,7
368,1330392,exact,deduping,50,50,50,false,8
369,1338311,exact,deduping,50,50,50,false,8
370,1346230,exact,deduping,50,50,50,false,6
371,1354149,exact,deduping,50,50,50,false,8
372,1362068,exact,deduping,50,50,50,false,8
373,1369987,exact,deduping,50,50,50,false,8
374,1377906,exact,deduping,50,50,50,false,7
375,1385825,exact,deduping,50,50,50,false,7
376,1393744,exact,deduping,50,50,50,false,7
377,1401663,exact,deduping,50,50,50,false,11
378,1409582,exact,deduping,50,50,50,false,8
379,1417501,exact,deduping,50,50,50,false,6
380,1425420,exact,deduping,50,50,50,false,8
381,1433339,exact,deduping,50,50,50,false,8
382,1441258,exact,deduping,50,50,50,false,9
383,1449177,exact,deduping,50,50,50,false,8
384,1457096,exact,deduping,50,50,50,false,6
385,1465015,exact,deduping,50,50,50,false,8
386,1472934,exact,deduping,50,50,50,false,13
387,1480853,exact,deduping,50,50,50,false,8
388,1488772,exact,deduping,50,50,50,false,6
389,1496691,exact,deduping,50,50,50,false,9
390,1504610,exact,deduping,50,50,50,false,8
391,1512529,exact,deduping,50,50,50,false,7
392,1520448,exact,deduping,50,50,50,false,8
393,1528367,exact,deduping,50,50,50,false,6
394,1536286,exact,deduping,50,50,50,false,7
395,1544205,exact,deduping,50,50,50,false,7
396,1552124,exact,deduping,50,50,50,false,7
397,1560043,exact,deduping,50,50,50,false,6
398,1567962,exact,deduping,50,50,50,false,6
399,1575881,exact,deduping,50,50,50,false,8
400,0,exact,deduping,100,96,96,true,67
401,7919,exact,deduping,100,100,100,false,50
402,15838,exact,deduping,100,97,97,true,66
403,23757,exact,deduping,100,95,95,true,45
404,31676,exact,deduping,100,98,98,true,45
405,39595,exact,deduping,100,98,98,true,47
406,47514,exact,deduping,100,92,92,true,39
407,55433,exact,deduping,100,97,97,true,42
408,63352,exact,deduping,100,100,100,false,47
409,71271,exact,deduping,100,96,96,true,43
410,79190,exact,deduping,100,100,100,false,64
411,87109,exact,deduping,100,94,94,true,29
412,95028,exact,deduping,100,94,94,true,30
413,102947,exact,deduping,100,97,97,true,29
414,110866,exact,deduping,100,100,100,false,32
415,118785,exact,deduping,100,96,96,true,337
416,126704,exact,deduping,100,97,97,true,40
417,134623,exact,deduping,100,97,97,true,20
418,142542,exact,deduping,100,99,99,true,28
419,150461,exact,deduping,100,98,98,true,23
420,158380,exact,deduping,100,96,96,true,21
421,166299,exact,deduping,100,92,92,true,18
422,174218,exact,deduping,100,96,96,true,22
423,182137,exact,deduping,100,95,95,true,23
424,190056,exact,deduping,100,98,98,true,26
425,197975,exact,deduping,100,99,99,true,26
426,205894,exact,deduping,100,98,98,true,28
427,213813,exact,deduping,100,94,94,true,21
428,221732,exact,deduping,100,98,98,true,23
429,229651,exact,deduping,100,98,98,true,19
430,237570,exact,deduping,100,99,99,true,26
431,245489,exact,deduping,100,98,98,true,21
432,253408,exact,deduping,100,99,99,true,24
433,261327,exact,deduping,100,98,98,true,25
434,269246,exact,deduping,100,98,98,true,21
435,277165,exact,deduping,100,98,98,true,24
436,285084,exact,deduping,100,99,99,true,24
437,293003,exact,deduping,100,96,96,true,19
438,300922,exact,deduping,100,95,95,true,19
439,308841,exact,deduping,100,99,99,true,27
440,316760,exact,deduping,100,98,98,true,24
441,324679,exact,deduping,100,98,98,true,21
442,332598,exact,deduping,100,99,99,true,27
443,340517,exact,deduping,100,97,97,true,20
444,348436,exact,deduping,100,100,100,false,23
445,356355,exact,deduping,100,99,99,true,26
446,364274,exact,deduping,100,100,100,false,22
447,372193,exact,deduping,100,98,98,true,21
448,380112,exact,deduping,100,98,98,true,22
449,388031,exact,deduping,100,99,99,true,23
450,395950,exact,deduping,100,100,100,false,23
451,403869,exact,deduping,100,97,97,true,24
452,411788,exact,deduping,100,93,93,true,18
453,419707,exact,deduping,100,95,95,true,20
454,427626,exact,deduping,100,96,96,true,20
455,435545,exact,deduping,100,100,100,false,23
456,443464,exact,deduping,100,99,99,true,22
457,451383,exact,deduping,100,99,99,true,24
458,459302,exact,deduping,100,99,99,true,25
