trial_id,seed,length_distribution,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
356,2819164,uniform,empty,true,1,1,0
357,2827083,uniform,empty,true,23,23,6
358,2835002,uniform,empty,true,15,15,4
359,2842921,uniform,empty,true,2,2,0
360,2850840,uniform,empty,true,3,3,0
361,2858759,uniform,empty,true,6,6,1
362,2866678,uniform,empty,true,7,7,2
363,2874597,uniform,empty,true,30,30,6
364,2882516,uniform,empty,true,10,10,1
365,2890435,uniform,empty,true,4,4,0
366,2898354,uniform,empty,true,11,11,2
367,2906273,uniform,empty,true,9,9,4
368,2914192,uniform,empty,true,6,6,14
369,2922111,uniform,empty,true,9,9,2
370,2930030,uniform,empty,true,3,3,0
371,2937949,uniform,empty,true,35,35,7
372,2945868,uniform,empty,true,7,7,1
373,2953787,uniform,empty,true,22,22,4
374,2961706,uniform,empty,true,18,18,3
375,2969625,uniform,empty,true,9,9,1
376,2977544,uniform,empty,true,5,5,1
377,2985463,uniform,empty,true,7,7,1
378,2993382,uniform,empty,true,29,29,4
379,3001301,uniform,empty,true,16,16,3
380,3009220,uniform,empty,true,8,8,2
381,3017139,uniform,empty,true,5,5,0
382,3025058,uniform,empty,true,5,5,0
383,3032977,uniform,empty,true,8,8,1
384,3040896,uniform,empty,true,19,19,3
385,3048815,uniform,empty,true,13,13,3
386,3056734,uniform,empty,true,24,24,5
387,3064653,uniform,empty,true,15,15,2
388,3072572,uniform,empty,true,2,2,0
389,3080491,uniform,empty,true,4,4,2
390,3088410,uniform,empty,true,1,1,0
391,3096329,uniform,empty,true,6,6,1
392,3104248,uniform,empty,true,18,18,3
393,3112167,uniform,empty,true,1,1,0
394,3120086,uniform,empty,true,3,3,0
395,3128005,uniform,empty,true,28,28,9
396,3135924,uniform,empty,true,18,18,4
397,3143843,uniform,empty,true,10,10,1
398,3151762,uniform,empty,true,20,20,5
399,3159681,uniform,empty,true,4,4,0
400,3167600,uniform,empty,true,14,14,9
401,3175519,uniform,empty,true,12,12,2
402,3183438,uniform,empty,true,11,11,2
403,3191357,uniform,empty,true,1,1,0
404,3199276,uniform,empty,true,22,22,5
405,3207195,uniform,empty,true,10,10,1
406,3215114,uniform,empty,true,2,2,0
407,3223033,uniform,empty,true,25,25,5
408,3230952,uniform,empty,true,21,21,3
409,3238871,uniform,empty,true,16,16,3
410,3246790,uniform,empty,true,22,22,10
411,3254709,uniform,empty,true,20,20,4
412,3262628,uniform,empty,true,2,2,0
413,3270547,uniform,empty,true,38,38,6
414,3278466,uniform,empty,true,19,19,2
415,3286385,uniform,empty,true,5,5,1
416,3294304,uniform,empty,true,1,1,0
417,3302223,uniform,empty,true,21,21,4
418,3310142,uniform,empty,true,1,1,0
419,3318061,uniform,empty,true,11,11,4
420,3325980,uniform,empty,true,1,1,0
421,3333899,uniform,empty,true,30,30,4
422,3341818,uniform,empty,true,5,5,0
423,3349737,uniform,empty,true,26,26,4
424,3357656,uniform,empty,true,8,8,0
425,3365575,uniform,empty,true,5,5,0
426,3373494,uniform,empty,true,2,2,0
427,3381413,uniform,empty,true,9,9,2
428,3389332,uniform,empty,true,3,3,0
429,3397251,uniform,empty,true,15,15,1
430,3405170,uniform,empty,true,44,44,23
431,3413089,uniform,empty,true,11,11,2
432,3421008,uniform,empty,true,3,3,0
433,3428927,uniform,empty,true,42,42,6
434,3436846,uniform,empty,true,7,7,0
435,3444765,uniform,empty,true,41,41,6
436,3452684,uniform,empty,true,17,17,1
437,3460603,uniform,empty,true,25,25,3
438,3468522,uniform,empty,true,1,1,0
439,3476441,uniform,empty,true,3,3,0
440,3484360,uniform,empty,true,2,2,0
441,3492279,uniform,empty,true,3,3,0
442,3500198,uniform,empty,true,3,3,0
443,3508117,uniform,empty,true,6,6,0
444,3516036,uniform,empty,true,18,18,3
445,3523955,uniform,empty,true,12,12,1
446,3531874,uniform,empty,true,13,13,2
447,3539793,uniform,empty,true,12,12,1
448,3547712,uniform,empty,true,3,3,1
449,3555631,uniform,empty,true,5,5,0
450,3563550,uniform,empty,true,9,9,1
451,3571469,uniform,empty,true,1,1,0
452,3579388,uniform,empty,true,1,1,0
453,3587307,uniform,empty,true,13,13,2
454,3595226,uniform,empty,true,3,3,0
455,3603145,uniform,empty,true,7,7,0
456,3611064,uniform,empty,true,2,2,0
457,3618983,uniform,empty,true,15,15,1
458,3626902,uniform,empty,true,1,1,0
459,3634821,uniform,empty,true,18,18,2
460,3642740,uniform,empty,true,10,10,2
461,3650659,uniform,empty,true,7,7,0
462,3658578,uniform,empty,true,24,24,13
463,3666497,uniform,empty,true,12,12,1
464,3674416,uniform,empty,true,18,18,2
465,3682335,uniform,empty,true,4,4,0
466,3690254,uniform,empty,true,4,4,1
467,3698173,uniform,empty,true,7,7,0
468,3706092,uniform,empty,true,2,2,0
469,3714011,uniform,empty,true,1,1,0
470,3721930,uniform,empty,true,3,3,0
471,3729849,uniform,empty,true,8,8,2
472,3737768,uniform,empty,true,8,8,0
473,3745687,uniform,empty,true,5,5,0
474,3753606,uniform,empty,true,1,1,0
475,3761525,uniform,empty,true,13,13,2
476,3769444,uniform,empty,true,6,6,2
477,3777363,uniform,empty,true,5,5,0
478,3785282,uniform,empty,true,5,5,0
479,3793201,uniform,empty,true,13,13,1
480,3801120,uniform,empty,true,8,8,2
481,3809039,uniform,empty,true,13,13,1
482,3816958,uniform,empty,true,17,17,2
483,3824877,uniform,empty,true,8,8,0
484,3832796,uniform,empty,true,4,4,1
485,3840715,uniform,empty,true,7,7,0
486,3848634,uniform,empty,true,13,13,1
487,3856553,uniform,empty,true,9,9,0
488,3864472,uniform,empty,true,5,5,0
489,3872391,uniform,empty,true,14,14,2
490,3880310,uniform,empty,true,3,3,0
491,3888229,uniform,empty,true,16,16,1
492,3896148,uniform,empty,true,21,21,2
493,3904067,uniform,empty,true,2,2,0
494,3911986,uniform,empty,true,3,3,1
495,3919905,uniform,empty,true,2,2,0
496,3927824,uniform,empty,true,16,16,1
497,3935743,uniform,empty,true,5,5,2
498,3943662,uniform,empty,true,4,4,0
499,3951581,uniform,empty,true,40,40,5
500,3959500,uniform,single,true,8,8,51
501,3967419,uniform,single,true,4,4,3
502,3975338,uniform,single,true,10,10,1
503,3983257,uniform,single,true,5,5,322
504,3991176,uniform,single,true,4,4,2
505,3999095,uniform,single,true,26,26,4
506,4007014,uniform,single,true,10,10,1
507,4014933,uniform,single,true,8,8,1
508,4022852,uniform,single,true,3,3,0
509,4030771,uniform,single,true,23,23,3
510,4038690,uniform,single,true,1,1,7
511,4046609,uniform,single,true,5,5,0
512,4054528,uniform,single,true,7,7,1
513,4062447,uniform,single,true,1,1,0
514,4070366,uniform,single,true,10,10,1
515,4078285,uniform,single,true,7,7,1
516,4086204,uniform,single,true,1,1,0
517,4094123,uniform,single,true,31,31,7
518,4102042,uniform,single,true,1,1,0
519,4109961,uniform,single,true,26,26,3
520,4117880,uniform,single,true,1,1,0
521,4125799,uniform,single,true,3,3,0
522,4133718,uniform,single,true,12,12,1
523,4141637,uniform,single,true,1,1,0
524,4149556,uniform,single,true,32,32,4
525,4157475,uniform,single,true,6,6,0
526,4165394,uniform,single,true,6,6,1
527,4173313,uniform,single,true,17,17,2
528,4181232,uniform,single,true,10,10,1
529,4189151,uniform,single,true,9,9,1
530,4197070,uniform,single,true,4,4,0
531,4204989,uniform,single,true,17,17,2
532,4212908,uniform,single,true,5,5,0
533,4220827,uniform,single,true,2,2,0
534,4228746,uniform,single,true,8,8,1
535,4236665,uniform,single,true,3,3,0
536,4244584,uniform,single,true,3,3,0
537,4252503,uniform,single,true,9,9,1
538,4260422,uniform,single,true,16,16,2
539,4268341,uniform,single,true,9,9,1
540,4276260,uniform,single,true,8,8,1
541,4284179,uniform,single,true,4,4,0
542,4292098,uniform,single,true,44,44,6
543,4300017,uniform,single,true,1,1,0
544,4307936,uniform,single,true,6,6,0
545,4315855,uniform,single,true,19,19,2
546,4323774,uniform,single,true,7,7,0
547,4331693,uniform,single,true,16,16,2
548,4339612,uniform,single,true,3,3,0
549,4347531,uniform,single,true,16,16,2
550,4355450,uniform,single,true,3,3,0
551,4363369,uniform,single,true,5,5,5
552,4371288,uniform,single,true,1,1,0
553,4379207,uniform,single,true,5,5,0
554,4387126,uniform,single,true,2,2,0
555,4395045,uniform,single,true,14,14,8
556,4402964,uniform,single,true,15,15,2
557,4410883,uniform,single,true,4,4,0
558,4418802,uniform,single,true,12,12,1
559,4426721,uniform,single,true,4,4,0
560,4434640,uniform,single,true,7,7,0
561,4442559,uniform,single,true,17,17,2
562,4450478,uniform,single,true,3,3,0
563,4458397,uniform,single,true,5,5,0
564,4466316,uniform,single,true,11,11,1
565,4474235,uniform,single,true,9,9,1
566,4482154,uniform,single,true,2,2,0
567,4490073,uniform,single,true,3,3,0
568,4497992,uniform,single,true,4,4,0
569,4505911,uniform,single,true,1,1,0
570,4513830,uniform,single,true,35,35,4
571,4521749,uniform,single,true,12,12,1
572,4529668,uniform,single,true,7,7,1
573,4537587,uniform,single,true,20,20,2
574,4545506,uniform,single,true,5,5,0
575,4553425,uniform,single,true,19,19,2
576,4561344,uniform,single,true,1,1,0
577,4569263,uniform,single,true,21,21,3
578,4577182,uniform,single,true,9,9,1
579,4585101,uniform,single,true,1,1,0
580,4593020,uniform,single,true,6,6,0
581,4600939,uniform,single,true,2,2,0
582,4608858,uniform,single,true,31,31,4
583,4616777,uniform,single,true,22,22,3
584,4624696,uniform,single,true,30,30,4
585,4632615,uniform,single,true,21,21,3
586,4640534,uniform,single,true,3,3,0
587,4648453,uniform,single,true,35,35,5
588,4656372,uniform,single,true,10,10,1
589,4664291,uniform,single,true,30,30,4
590,4672210,uniform,single,true,1,1,0
591,4680129,uniform,single,true,10,10,1
592,4688048,uniform,single,true,10,10,1
593,4695967,uniform,single,true,9,9,1
594,4703886,uniform,single,true,9,9,1
595,4711805,uniform,single,true,11,11,1
596,4719724,uniform,single,true,1,1,0
597,4727643,uniform,single,true,2,2,0
598,4735562,uniform,single,true,4,4,0
