trial_id,implementation,seed,chain_depth,filter_pass_rate,composite_pass_rate,estimated_size,actual_distinct_values,credible_interval_lower,credible_interval_upper,true_value_in_ci,relative_error,elapsed_micros
129,legacy,1021551,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12115
130,legacy,1029470,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12039
131,legacy,1037389,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11841
132,legacy,1045308,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11860
133,legacy,1053227,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11771
134,legacy,1061146,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11874
135,legacy,1069065,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11858
136,legacy,1076984,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12310
137,legacy,1084903,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11791
138,legacy,1092822,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11958
139,legacy,1100741,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11751
140,legacy,1108660,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11849
141,legacy,1116579,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11802
142,legacy,1124498,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11767
143,legacy,1132417,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11939
144,legacy,1140336,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12016
145,legacy,1148255,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12443
146,legacy,1156174,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12861
147,legacy,1164093,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11938
148,legacy,1172012,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12096
149,legacy,1179931,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11932
150,legacy,1187850,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11780
151,legacy,1195769,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11810
152,legacy,1203688,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11776
153,legacy,1211607,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11777
154,legacy,1219526,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11775
155,legacy,1227445,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11559
156,legacy,1235364,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11830
157,legacy,1243283,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11851
158,legacy,1251202,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11681
159,legacy,1259121,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11793
160,legacy,1267040,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11972
161,legacy,1274959,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11789
162,legacy,1282878,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11892
163,legacy,1290797,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12323
164,legacy,1298716,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11658
165,legacy,1306635,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11902
166,legacy,1314554,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11743
167,legacy,1322473,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11837
168,legacy,1330392,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11797
169,legacy,1338311,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11732
170,legacy,1346230,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12120
171,legacy,1354149,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11532
172,legacy,1362068,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11645
173,legacy,1369987,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11950
174,legacy,1377906,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12147
175,legacy,1385825,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11757
176,legacy,1393744,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12000
177,legacy,1401663,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11719
178,legacy,1409582,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11857
179,legacy,1417501,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11939
180,legacy,1425420,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,12056
181,legacy,1433339,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11676
182,legacy,1441258,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11672
183,legacy,1449177,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11774
184,legacy,1457096,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11574
185,legacy,1465015,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11791
186,legacy,1472934,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11777
187,legacy,1480853,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11709
188,legacy,1488772,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11776
189,legacy,1496691,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11852
190,legacy,1504610,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11958
191,legacy,1512529,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11812
192,legacy,1520448,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11865
193,legacy,1528367,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11630
194,legacy,1536286,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11805
195,legacy,1544205,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11959
