trial_id,seed,sampler_type,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
320,2534080,biased,boundary_min,true,1,1,16
321,2541999,biased,boundary_min,true,1,1,16
322,2549918,biased,boundary_min,true,1,1,16
323,2557837,biased,boundary_min,true,1,1,16
324,2565756,biased,boundary_min,true,1,1,16
325,2573675,biased,boundary_min,true,1,1,16
326,2581594,biased,boundary_min,true,1,1,16
327,2589513,biased,boundary_min,true,1,1,16
328,2597432,biased,boundary_min,true,1,1,16
329,2605351,biased,boundary_min,true,1,1,23
330,2613270,biased,boundary_min,true,1,1,18
331,2621189,biased,boundary_min,true,1,1,27
332,2629108,biased,boundary_min,true,1,1,18
333,2637027,biased,boundary_min,true,1,1,17
334,2644946,biased,boundary_min,true,1,1,16
335,2652865,biased,boundary_min,true,1,1,17
336,2660784,biased,boundary_min,true,1,1,16
337,2668703,biased,boundary_min,true,1,1,18
338,2676622,biased,boundary_min,true,1,1,15
339,2684541,biased,boundary_min,true,1,1,16
340,2692460,biased,boundary_min,true,1,1,16
341,2700379,biased,boundary_min,true,1,1,15
342,2708298,biased,boundary_min,true,1,1,15
343,2716217,biased,boundary_min,true,1,1,16
344,2724136,biased,boundary_min,true,1,1,16
345,2732055,biased,boundary_min,true,1,1,15
346,2739974,biased,boundary_min,true,1,1,15
347,2747893,biased,boundary_min,true,1,1,17
348,2755812,biased,boundary_min,true,1,1,16
349,2763731,biased,boundary_min,true,1,1,17
350,2771650,biased,boundary_min,true,1,1,16
351,2779569,biased,boundary_min,true,1,1,22
352,2787488,biased,boundary_min,true,1,1,16
353,2795407,biased,boundary_min,true,1,1,16
354,2803326,biased,boundary_min,true,1,1,16
355,2811245,biased,boundary_min,true,1,1,15
356,2819164,biased,boundary_min,true,1,1,16
357,2827083,biased,boundary_min,true,1,1,16
358,2835002,biased,boundary_min,true,1,1,15
359,2842921,biased,boundary_min,true,1,1,15
360,2850840,biased,boundary_min,true,1,1,15
361,2858759,biased,boundary_min,true,1,1,16
362,2866678,biased,boundary_min,true,1,1,15
363,2874597,biased,boundary_min,true,1,1,16
364,2882516,biased,boundary_min,true,1,1,15
365,2890435,biased,boundary_min,true,1,1,17
366,2898354,biased,boundary_min,true,1,1,17
367,2906273,biased,boundary_min,true,1,1,15
368,2914192,biased,boundary_min,true,1,1,18
369,2922111,biased,boundary_min,true,1,1,15
370,2930030,biased,boundary_min,true,1,1,16
371,2937949,biased,boundary_min,true,1,1,18
372,2945868,biased,boundary_min,true,1,1,17
373,2953787,biased,boundary_min,true,1,1,16
374,2961706,biased,boundary_min,true,1,1,21
375,2969625,biased,boundary_min,true,1,1,16
376,2977544,biased,boundary_min,true,1,1,16
377,2985463,biased,boundary_min,true,1,1,16
378,2993382,biased,boundary_min,true,1,1,16
379,3001301,biased,boundary_min,true,1,1,16
380,3009220,biased,boundary_min,true,1,1,33
381,3017139,biased,boundary_min,true,1,1,16
382,3025058,biased,boundary_min,true,1,1,16
383,3032977,biased,boundary_min,true,1,1,16
384,3040896,biased,boundary_min,true,1,1,16
385,3048815,biased,boundary_min,true,1,1,16
386,3056734,biased,boundary_min,true,1,1,15
387,3064653,biased,boundary_min,true,1,1,16
388,3072572,biased,boundary_min,true,1,1,27
389,3080491,biased,boundary_min,true,1,1,16
390,3088410,biased,boundary_min,true,1,1,16
391,3096329,biased,boundary_min,true,1,1,17
392,3104248,biased,boundary_min,true,1,1,15
393,3112167,biased,boundary_min,true,1,1,15
394,3120086,biased,boundary_min,true,1,1,15
395,3128005,biased,boundary_min,true,1,1,16
396,3135924,biased,boundary_min,true,1,1,16
397,3143843,biased,boundary_min,true,1,1,222
398,3151762,biased,boundary_min,true,1,1,29
399,3159681,biased,boundary_min,true,1,1,18
400,3167600,biased,boundary_min,true,1,1,18
401,3175519,biased,boundary_min,true,1,1,16
402,3183438,biased,boundary_min,true,1,1,17
403,3191357,biased,boundary_min,true,1,1,16
404,3199276,biased,boundary_min,true,1,1,19
405,3207195,biased,boundary_min,true,1,1,16
406,3215114,biased,boundary_min,true,1,1,16
407,3223033,biased,boundary_min,true,1,1,18
408,3230952,biased,boundary_min,true,1,1,16
409,3238871,biased,boundary_min,true,1,1,20
410,3246790,biased,boundary_min,true,1,1,77
411,3254709,biased,boundary_min,true,1,1,18
412,3262628,biased,boundary_min,true,1,1,21
413,3270547,biased,boundary_min,true,1,1,17
414,3278466,biased,boundary_min,true,1,1,17
415,3286385,biased,boundary_min,true,1,1,19
416,3294304,biased,boundary_min,true,1,1,18
417,3302223,biased,boundary_min,true,1,1,25
418,3310142,biased,boundary_min,true,1,1,20
419,3318061,biased,boundary_min,true,1,1,20
420,3325980,biased,boundary_min,true,1,1,21
421,3333899,biased,boundary_min,true,1,1,21
422,3341818,biased,boundary_min,true,1,1,18
423,3349737,biased,boundary_min,true,1,1,24
424,3357656,biased,boundary_min,true,1,1,19
425,3365575,biased,boundary_min,true,1,1,16
426,3373494,biased,boundary_min,true,1,1,16
427,3381413,biased,boundary_min,true,1,1,16
428,3389332,biased,boundary_min,true,1,1,15
429,3397251,biased,boundary_min,true,1,1,16
430,3405170,biased,boundary_min,true,1,1,24
431,3413089,biased,boundary_min,true,1,1,16
432,3421008,biased,boundary_min,true,1,1,16
433,3428927,biased,boundary_min,true,1,1,17
434,3436846,biased,boundary_min,true,1,1,16
435,3444765,biased,boundary_min,true,1,1,20
436,3452684,biased,boundary_min,true,1,1,16
437,3460603,biased,boundary_min,true,1,1,16
438,3468522,biased,boundary_min,true,1,1,16
439,3476441,biased,boundary_min,true,1,1,16
440,3484360,biased,boundary_min,true,1,1,16
441,3492279,biased,boundary_min,true,1,1,16
442,3500198,biased,boundary_min,true,1,1,16
443,3508117,biased,boundary_min,true,1,1,17
444,3516036,biased,boundary_min,true,1,1,16
445,3523955,biased,boundary_min,true,1,1,19
446,3531874,biased,boundary_min,true,1,1,16
447,3539793,biased,boundary_min,true,1,1,16
448,3547712,biased,boundary_min,true,1,1,16
449,3555631,biased,boundary_min,true,1,1,25
450,3563550,biased,boundary_min,true,1,1,17
451,3571469,biased,boundary_min,true,1,1,18
452,3579388,biased,boundary_min,true,1,1,19
453,3587307,biased,boundary_min,true,1,1,15
454,3595226,biased,boundary_min,true,1,1,17
455,3603145,biased,boundary_min,true,1,1,15
456,3611064,biased,boundary_min,true,1,1,15
457,3618983,biased,boundary_min,true,1,1,17
458,3626902,biased,boundary_min,true,1,1,18
459,3634821,biased,boundary_min,true,1,1,18
460,3642740,biased,boundary_min,true,1,1,15
461,3650659,biased,boundary_min,true,1,1,18
462,3658578,biased,boundary_min,true,1,1,15
463,3666497,biased,boundary_min,true,1,1,16
464,3674416,biased,boundary_min,true,1,1,15
465,3682335,biased,boundary_min,true,1,1,17
466,3690254,biased,boundary_min,true,1,1,15
467,3698173,biased,boundary_min,true,1,1,15
468,3706092,biased,boundary_min,true,1,1,26
469,3714011,biased,boundary_min,true,1,1,20
470,3721930,biased,boundary_min,true,1,1,18
471,3729849,biased,boundary_min,true,1,1,18
472,3737768,biased,boundary_min,true,1,1,20
473,3745687,biased,boundary_min,true,1,1,16
474,3753606,biased,boundary_min,true,1,1,15
475,3761525,biased,boundary_min,true,1,1,16
476,3769444,biased,boundary_min,true,1,1,18
477,3777363,biased,boundary_min,true,1,1,18
478,3785282,biased,boundary_min,true,1,1,18
479,3793201,biased,boundary_min,true,1,1,18
480,3801120,biased,boundary_min,true,1,1,18
481,3809039,biased,boundary_min,true,1,1,18
482,3816958,biased,boundary_min,true,1,1,19
483,3824877,biased,boundary_min,true,1,1,17
484,3832796,biased,boundary_min,true,1,1,18
485,3840715,biased,boundary_min,true,1,1,15
486,3848634,biased,boundary_min,true,1,1,18
487,3856553,biased,boundary_min,true,1,1,15
488,3864472,biased,boundary_min,true,1,1,19
489,3872391,biased,boundary_min,true,1,1,18
490,3880310,biased,boundary_min,true,1,1,19
491,3888229,biased,boundary_min,true,1,1,18
492,3896148,biased,boundary_min,true,1,1,18
493,3904067,biased,boundary_min,true,1,1,15
494,3911986,biased,boundary_min,true,1,1,19
495,3919905,biased,boundary_min,true,1,1,19
496,3927824,biased,boundary_min,true,1,1,18
497,3935743,biased,boundary_min,true,1,1,15
498,3943662,biased,boundary_min,true,1,1,17
499,3951581,biased,boundary_min,true,1,1,18
500,0,random,boundary_min,true,2,2,126
501,7919,random,boundary_min,true,78,78,162
502,15838,random,boundary_min,true,45,45,233
503,23757,random,boundary_min,true,8,8,29
504,31676,random,boundary_min,true,19,19,47
505,39595,random,boundary_min,false,,100,258
506,47514,random,boundary_min,true,72,72,99
507,55433,random,boundary_min,false,,100,141
508,63352,random,boundary_min,false,,100,183
509,71271,random,boundary_min,true,83,83,127
510,79190,random,boundary_min,true,34,34,238
511,87109,random,boundary_min,false,,100,144
512,95028,random,boundary_min,true,35,35,56
513,102947,random,boundary_min,true,11,11,33
514,110866,random,boundary_min,true,28,28,76
515,118785,random,boundary_min,true,95,95,129
516,126704,random,boundary_min,false,,100,137
517,134623,random,boundary_min,true,49,49,79
518,142542,random,boundary_min,false,,100,184
519,150461,random,boundary_min,true,12,12,37
520,158380,random,boundary_min,false,,100,141
521,166299,random,boundary_min,true,57,57,88
522,174218,random,boundary_min,true,5,5,22
523,182137,random,boundary_min,false,,100,126
524,190056,random,boundary_min,true,46,46,71
525,197975,random,boundary_min,true,74,74,107
526,205894,random,boundary_min,true,68,68,304
527,213813,random,boundary_min,false,,100,138
528,221732,random,boundary_min,true,1,1,20
529,229651,random,boundary_min,false,,100,138
530,237570,random,boundary_min,false,,100,132
531,245489,random,boundary_min,true,58,58,86
532,253408,random,boundary_min,true,19,19,39
533,261327,random,boundary_min,true,7,7,28
534,269246,random,boundary_min,true,7,7,78
535,277165,random,boundary_min,true,23,23,73
536,285084,random,boundary_min,true,13,13,32
537,293003,random,boundary_min,true,29,29,55
538,300922,random,boundary_min,false,,100,119
539,308841,random,boundary_min,false,,100,117
540,316760,random,boundary_min,true,13,13,33
541,324679,random,boundary_min,false,,100,129
542,332598,random,boundary_min,false,,100,121
543,340517,random,boundary_min,false,,100,113
544,348436,random,boundary_min,true,35,35,49
545,356355,random,boundary_min,false,,100,109
546,364274,random,boundary_min,true,11,11,24
547,372193,random,boundary_min,true,95,95,103
548,380112,random,boundary_min,true,73,73,81
549,388031,random,boundary_min,true,9,9,22
550,395950,random,boundary_min,true,10,10,45
551,403869,random,boundary_min,false,,100,109
552,411788,random,boundary_min,false,,100,266
553,419707,random,boundary_min,false,,100,108
554,427626,random,boundary_min,false,,100,106
555,435545,random,boundary_min,true,61,61,75
556,443464,random,boundary_min,true,98,98,101
557,451383,random,boundary_min,true,5,5,18
558,459302,random,boundary_min,true,14,14,26
559,467221,random,boundary_min,true,33,33,45
560,475140,random,boundary_min,false,,100,166
561,483059,random,boundary_min,true,30,30,49
562,490978,random,boundary_min,true,32,32,42
563,498897,random,boundary_min,false,,100,99
564,506816,random,boundary_min,true,100,100,122
565,514735,random,boundary_min,false,,100,111
566,522654,random,boundary_min,true,15,15,26
567,530573,random,boundary_min,false,,100,99
568,538492,random,boundary_min,false,,100,111
569,546411,random,boundary_min,true,26,26,35
570,554330,random,boundary_min,true,30,30,37
571,562249,random,boundary_min,true,23,23,33
572,570168,random,boundary_min,false,,100,97
573,578087,random,boundary_min,true,14,14,24
574,586006,random,boundary_min,true,28,28,35
575,593925,random,boundary_min,true,35,35,41
576,601844,random,boundary_min,true,58,58,61
577,609763,random,boundary_min,true,42,42,48
578,617682,random,boundary_min,true,20,20,134
579,625601,random,boundary_min,true,3,3,16
580,633520,random,boundary_min,false,,100,97
581,641439,random,boundary_min,true,54,54,58
582,649358,random,boundary_min,true,29,29,37
583,657277,random,boundary_min,true,34,34,41
584,665196,random,boundary_min,true,49,49,54
585,673115,random,boundary_min,true,94,94,92
586,681034,random,boundary_min,true,19,19,28
587,688953,random,boundary_min,true,25,25,33
588,696872,random,boundary_min,true,66,66,68
589,704791,random,boundary_min,false,,100,97
590,712710,random,boundary_min,false,,100,96
591,720629,random,boundary_min,true,37,37,42
592,728548,random,boundary_min,true,44,44,49
