trial_id,seed,scenario,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value
430,3405170,moderate,0.1,50,true,5,24,"{""x"":589580}"
431,3413089,moderate,0.1,50,true,2,13,"{""x"":451700}"
432,3421008,moderate,0.1,50,true,4,15,"{""x"":439880}"
433,3428927,moderate,0.1,50,true,25,26,"{""x"":774790}"
434,3436846,moderate,0.1,50,true,3,13,"{""x"":170980}"
435,3444765,moderate,0.1,50,true,3,14,"{""x"":576450}"
436,3452684,moderate,0.1,50,true,5,15,"{""x"":381680}"
437,3460603,moderate,0.1,50,true,7,16,"{""x"":3620}"
438,3468522,moderate,0.1,50,true,32,30,"{""x"":381000}"
439,3476441,moderate,0.1,50,true,8,16,"{""x"":448600}"
440,3484360,moderate,0.1,50,true,2,13,"{""x"":318470}"
441,3492279,moderate,0.1,50,true,1,27,"{""x"":655110}"
442,3500198,moderate,0.1,50,true,3,25,"{""x"":204200}"
443,3508117,moderate,0.1,50,true,50,41,"{""x"":276680}"
444,3516036,moderate,0.1,50,true,4,28,"{""x"":682890}"
445,3523955,moderate,0.1,50,true,1,188,"{""x"":819580}"
446,3531874,moderate,0.1,50,true,2,30,"{""x"":30820}"
447,3539793,moderate,0.1,50,true,11,20,"{""x"":135730}"
448,3547712,moderate,0.1,50,true,20,25,"{""x"":60070}"
449,3555631,moderate,0.1,50,true,20,24,"{""x"":378230}"
450,3563550,moderate,0.1,100,true,16,24,"{""x"":332940}"
451,3571469,moderate,0.1,100,true,5,58,"{""x"":567150}"
452,3579388,moderate,0.1,100,true,38,50,"{""x"":187080}"
453,3587307,moderate,0.1,100,true,2,15,"{""x"":173610}"
454,3595226,moderate,0.1,100,true,5,16,"{""x"":658250}"
455,3603145,moderate,0.1,100,true,5,26,"{""x"":488790}"
456,3611064,moderate,0.1,100,true,11,33,"{""x"":485380}"
457,3618983,moderate,0.1,100,true,2,21,"{""x"":31890}"
458,3626902,moderate,0.1,100,true,3,15,"{""x"":349330}"
459,3634821,moderate,0.1,100,true,4,15,"{""x"":980660}"
460,3642740,moderate,0.1,100,true,5,15,"{""x"":644720}"
461,3650659,moderate,0.1,100,true,11,26,"{""x"":677760}"
462,3658578,moderate,0.1,100,true,1,13,"{""x"":332480}"
463,3666497,moderate,0.1,100,true,17,21,"{""x"":847470}"
464,3674416,moderate,0.1,100,true,2,13,"{""x"":218640}"
465,3682335,moderate,0.1,100,true,15,20,"{""x"":547530}"
466,3690254,moderate,0.1,100,true,12,19,"{""x"":320}"
467,3698173,moderate,0.1,100,true,38,34,"{""x"":107650}"
468,3706092,moderate,0.1,100,true,16,21,"{""x"":629740}"
469,3714011,moderate,0.1,100,true,2,13,"{""x"":720}"
470,3721930,moderate,0.1,100,true,10,26,"{""x"":156210}"
471,3729849,moderate,0.1,100,true,9,17,"{""x"":556400}"
472,3737768,moderate,0.1,100,true,2,14,"{""x"":436580}"
473,3745687,moderate,0.1,100,true,12,19,"{""x"":697880}"
474,3753606,moderate,0.1,100,true,7,16,"{""x"":791840}"
475,3761525,moderate,0.1,100,true,24,26,"{""x"":300260}"
476,3769444,moderate,0.1,100,true,2,14,"{""x"":423560}"
477,3777363,moderate,0.1,100,true,1,13,"{""x"":193030}"
478,3785282,moderate,0.1,100,true,9,35,"{""x"":264160}"
479,3793201,moderate,0.1,100,true,3,14,"{""x"":325950}"
480,3801120,moderate,0.1,100,true,16,21,"{""x"":106980}"
481,3809039,moderate,0.1,100,true,25,26,"{""x"":477470}"
482,3816958,moderate,0.1,100,true,13,19,"{""x"":99520}"
483,3824877,moderate,0.1,100,true,10,18,"{""x"":24300}"
