trial_id,seed,prior_alpha,prior_beta,prior_name,pass_rate,warmup_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error,bias,posterior_alpha,posterior_beta
86,681034,2,1,"Beta(2,1)_current",0.01,10,10,15,9.00,26.00,17.00,true,0.500000,5.00,12.00,701.00
87,688953,2,1,"Beta(2,1)_current",0.01,10,10,11,7.00,19.00,12.00,true,0.100000,1.00,12.00,977.00
88,696872,2,1,"Beta(2,1)_current",0.01,10,10,16,10.00,28.00,18.00,true,0.600000,6.00,12.00,658.00
89,704791,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1334.00
90,712710,2,1,"Beta(2,1)_current",0.01,10,10,8,4.00,13.00,9.00,true,0.200000,-2.00,12.00,1452.00
91,720629,2,1,"Beta(2,1)_current",0.01,10,10,8,5.00,14.00,9.00,true,0.200000,-2.00,12.00,1344.00
92,728548,2,1,"Beta(2,1)_current",0.01,10,10,16,10.00,27.00,17.00,true,0.600000,6.00,12.00,682.00
93,736467,2,1,"Beta(2,1)_current",0.01,10,10,8,4.00,13.00,9.00,true,0.200000,-2.00,12.00,1422.00
94,744386,2,1,"Beta(2,1)_current",0.01,10,10,13,8.00,22.00,14.00,true,0.300000,3.00,12.00,832.00
95,752305,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1109.00
96,760224,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1092.00
97,768143,2,1,"Beta(2,1)_current",0.01,10,10,15,9.00,25.00,16.00,true,0.500000,5.00,12.00,726.00
98,776062,2,1,"Beta(2,1)_current",0.01,10,10,10,6.00,17.00,11.00,true,0.000000,0.00,12.00,1080.00
99,783981,2,1,"Beta(2,1)_current",0.01,10,10,13,7.00,21.00,14.00,true,0.300000,3.00,12.00,859.00
100,0,2,1,"Beta(2,1)_current",0.01,25,10,14,10.00,20.00,10.00,true,0.400000,4.00,27.00,1855.00
101,7919,2,1,"Beta(2,1)_current",0.01,25,10,13,9.00,19.00,10.00,true,0.300000,3.00,27.00,1927.00
102,15838,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2657.00
103,23757,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2691.00
104,31676,2,1,"Beta(2,1)_current",0.01,25,10,8,6.00,12.00,6.00,true,0.200000,-2.00,27.00,3038.00
105,39595,2,1,"Beta(2,1)_current",0.01,25,10,11,7.00,15.00,8.00,true,0.100000,1.00,27.00,2390.00
106,47514,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2870.00
107,55433,2,1,"Beta(2,1)_current",0.01,25,10,8,5.00,11.00,6.00,true,0.200000,-2.00,27.00,3386.00
108,63352,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,15.00,8.00,true,0.000000,0.00,27.00,2506.00
109,71271,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2301.00
110,79190,2,1,"Beta(2,1)_current",0.01,25,10,8,5.00,12.00,7.00,true,0.200000,-2.00,27.00,3186.00
111,87109,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2967.00
112,95028,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2839.00
113,102947,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2593.00
